OTU,Size,Taxonomy
Otu000001,6355679,Actinobacteria
Otu000002,5885396,Firmicutes
Otu000003,2839349,Proteobacteria
Otu000004,2500167,Firmicutes
Otu000005,2235755,Firmicutes
Otu000006,1743518,Firmicutes
Otu000007,1692484,Proteobacteria
Otu000008,1680584,Fusobacteria
Otu000009,1277844,Actinobacteria
Otu000010,1136774,Bacteroidetes
Otu000011,937296,Firmicutes
Otu000012,893195,Bacteroidetes
Otu000013,868201,Bacteroidetes
Otu000014,674285,Firmicutes
Otu000015,637586,Bacteroidetes
Otu000016,600160,Actinobacteria
Otu000017,595701,Bacteroidetes
Otu000018,594527,Actinobacteria
Otu000019,518088,Actinobacteria
Otu000020,488067,Actinobacteria
Otu000021,444180,Firmicutes
Otu000022,408360,Fusobacteria
Otu000023,384144,Bacteroidetes
Otu000024,289525,Proteobacteria
Otu000025,288523,Proteobacteria
Otu000026,269308,Bacteroidetes
Otu000027,262987,Bacteroidetes
Otu000028,262259,Firmicutes
Otu000029,247520,Bacteroidetes
Otu000030,241452,Firmicutes
Otu000031,232881,Firmicutes
Otu000032,219909,Bacteroidetes
Otu000033,216386,Firmicutes
Otu000034,207976,Fusobacteria
Otu000035,187079,Bacteroidetes
Otu000036,175756,Firmicutes
Otu000037,165446,Proteobacteria
Otu000038,157261,Actinobacteria
Otu000039,156905,Firmicutes
Otu000040,150518,Actinobacteria
Otu000041,143044,Bacteroidetes
Otu000042,138720,Bacteroidetes
Otu000043,138481,Actinobacteria
Otu000044,136654,Proteobacteria
Otu000045,132185,Bacteroidetes
Otu000046,132156,Bacteroidetes
Otu000047,131207,Proteobacteria
Otu000048,127414,Bacteroidetes
Otu000049,122791,Bacteroidetes
Otu000050,103523,Bacteroidetes
Otu000051,101614,Bacteroidetes
Otu000052,100882,Bacteroidetes
Otu000053,96271,Fusobacteria
Otu000054,95810,Firmicutes
Otu000055,95077,Actinobacteria
Otu000056,91230,Proteobacteria
Otu000057,90064,Bacteroidetes
Otu000058,87315,Actinobacteria
Otu000059,81928,Firmicutes
Otu000060,81178,Firmicutes
Otu000061,79787,Firmicutes
Otu000062,77721,Firmicutes
Otu000063,76955,Actinobacteria
Otu000064,75528,Fusobacteria
Otu000065,74547,Firmicutes
Otu000066,71899,Bacteroidetes
Otu000067,70911,Actinobacteria
Otu000068,70803,Firmicutes
Otu000069,66193,Actinobacteria
Otu000070,65614,Firmicutes
Otu000071,64390,Bacteroidetes
Otu000072,61382,Proteobacteria
Otu000073,61206,Firmicutes
Otu000074,58055,Firmicutes
Otu000075,57178,Bacteroidetes
Otu000076,56451,Firmicutes
Otu000077,55102,Spirochaetes
Otu000078,52956,Actinobacteria
Otu000079,52935,Firmicutes
Otu000080,50987,Proteobacteria
Otu000081,49537,Proteobacteria
Otu000082,49437,Bacteroidetes
Otu000083,49019,Firmicutes
Otu000084,48724,Bacteroidetes
Otu000085,48123,Actinobacteria
Otu000086,47217,Bacteroidetes
Otu000087,46060,Firmicutes
Otu000088,46025,Bacteroidetes
Otu000089,45250,Proteobacteria
Otu000090,45220,Proteobacteria
Otu000091,44451,Bacteroidetes
Otu000092,43388,Firmicutes
Otu000093,42281,Firmicutes
Otu000094,42168,Deinococcus-Thermus
Otu000095,42136,Firmicutes
Otu000096,41566,Bacteroidetes
Otu000097,38402,Bacteroidetes
Otu000098,38208,Actinobacteria
Otu000099,37331,Proteobacteria
Otu000100,37131,Fusobacteria
Otu000101,36507,Bacteroidetes
Otu000102,36101,Bacteroidetes
Otu000103,35520,Proteobacteria
Otu000104,34513,Firmicutes
Otu000105,33560,Firmicutes
Otu000106,33082,Firmicutes
Otu000107,33003,Firmicutes
Otu000108,32698,Firmicutes
Otu000109,31640,Firmicutes
Otu000110,31375,Firmicutes
Otu000111,30390,Firmicutes
Otu000112,29890,Bacteroidetes
Otu000113,29452,Bacteroidetes
Otu000114,29174,Spirochaetes
Otu000115,28453,Proteobacteria
Otu000116,28392,Actinobacteria
Otu000117,28166,Proteobacteria
Otu000118,26835,Firmicutes
Otu000119,26210,Firmicutes
Otu000120,25758,Bacteroidetes
Otu000121,24919,Actinobacteria
Otu000122,24045,Firmicutes
Otu000123,23753,Firmicutes
Otu000124,23648,Bacteroidetes
Otu000125,22502,Proteobacteria
Otu000126,22270,Firmicutes
Otu000127,22265,Bacteroidetes
Otu000128,21859,Spirochaetes
Otu000129,21799,Firmicutes
Otu000130,21310,Bacteroidetes
Otu000131,21156,Firmicutes
Otu000132,20910,Proteobacteria
Otu000133,20736,Proteobacteria
Otu000134,20312,Proteobacteria
Otu000135,20094,Bacteroidetes
Otu000136,19825,Firmicutes
Otu000137,19497,Firmicutes
Otu000138,19358,Bacteroidetes
Otu000139,19004,Proteobacteria
Otu000140,18504,Proteobacteria
Otu000141,18121,Fusobacteria
Otu000142,17436,Firmicutes
Otu000143,17115,Firmicutes
Otu000144,17029,Bacteroidetes
Otu000145,16968,Bacteroidetes
Otu000146,16946,Firmicutes
Otu000147,15790,unclassified
Otu000148,15602,Firmicutes
Otu000149,15246,Bacteroidetes
Otu000150,14914,Firmicutes
Otu000151,14618,Bacteroidetes
Otu000152,14529,Bacteroidetes
Otu000153,14338,Proteobacteria
Otu000154,14000,Firmicutes
Otu000155,13875,Firmicutes
Otu000156,13498,Firmicutes
Otu000157,13411,Firmicutes
Otu000158,12955,Firmicutes
Otu000159,12863,Bacteroidetes
Otu000160,12669,Bacteroidetes
Otu000161,12548,Proteobacteria
Otu000162,12318,Proteobacteria
Otu000163,12310,Bacteroidetes
Otu000164,12248,Firmicutes
Otu000165,12126,Proteobacteria
Otu000166,11722,Firmicutes
Otu000167,11590,Spirochaetes
Otu000168,11499,Firmicutes
Otu000169,11448,Bacteroidetes
Otu000170,11155,Firmicutes
Otu000171,10874,Firmicutes
Otu000172,10842,Bacteroidetes
Otu000173,10569,Firmicutes
Otu000174,10353,Firmicutes
Otu000175,9869,Firmicutes
Otu000176,9791,Bacteroidetes
Otu000177,9770,Firmicutes
Otu000178,9735,Proteobacteria
Otu000179,9341,Firmicutes
Otu000180,9331,Proteobacteria
Otu000181,9307,Firmicutes
Otu000182,9269,Proteobacteria
Otu000183,9084,Firmicutes
Otu000184,8985,Firmicutes
Otu000185,8942,Firmicutes
Otu000186,8894,Proteobacteria
Otu000187,8885,Firmicutes
Otu000188,8873,Proteobacteria
Otu000189,8539,Proteobacteria
Otu000190,8513,Bacteroidetes
Otu000191,8494,Firmicutes
Otu000192,8174,Firmicutes
Otu000193,8073,Firmicutes
Otu000194,7994,Verrucomicrobia
Otu000195,7984,Firmicutes
Otu000196,7966,Firmicutes
Otu000197,7940,unclassified
Otu000198,7907,Bacteroidetes
Otu000199,7868,Bacteroidetes
Otu000200,7788,Firmicutes
Otu000201,7769,Firmicutes
Otu000202,7719,Proteobacteria
Otu000203,7711,unclassified
Otu000204,7678,Bacteroidetes
Otu000205,7608,Bacteroidetes
Otu000206,7550,Firmicutes
Otu000207,7455,Firmicutes
Otu000208,7430,Proteobacteria
Otu000209,6987,Firmicutes
Otu000210,6938,Firmicutes
Otu000211,6868,Firmicutes
Otu000212,6761,Bacteroidetes
Otu000213,6746,Firmicutes
Otu000214,6662,Firmicutes
Otu000215,6619,Bacteroidetes
Otu000216,6557,Firmicutes
Otu000217,6547,Firmicutes
Otu000218,6516,Firmicutes
Otu000219,6405,Firmicutes
Otu000220,6372,Bacteroidetes
Otu000221,6303,Proteobacteria
Otu000222,6198,Proteobacteria
Otu000223,6180,unclassified
Otu000224,6115,Bacteroidetes
Otu000225,6056,Actinobacteria
Otu000226,6000,Firmicutes
Otu000227,5974,Spirochaetes
Otu000228,5839,Firmicutes
Otu000229,5709,Bacteroidetes
Otu000230,5676,TM7
Otu000231,5515,Firmicutes
Otu000232,5422,Proteobacteria
Otu000233,5341,Firmicutes
Otu000234,5318,Firmicutes
Otu000235,5307,Actinobacteria
Otu000236,5255,Spirochaetes
Otu000237,5177,Firmicutes
Otu000238,5171,unclassified
Otu000239,5037,Bacteroidetes
Otu000240,5024,Actinobacteria
Otu000241,5018,Proteobacteria
Otu000242,5006,Firmicutes
Otu000243,4986,Proteobacteria
Otu000244,4923,Proteobacteria
Otu000245,4822,Tenericutes
Otu000246,4805,Firmicutes
Otu000247,4652,Firmicutes
Otu000248,4537,Firmicutes
Otu000249,4494,Bacteroidetes
