OTU	Size	Taxonomy
Otu000001	85106	Bacteroidetes
Otu000002	69313	Firmicutes
Otu000003	46256	Firmicutes
Otu000004	24964	Firmicutes
Otu000005	24423	Bacteroidetes
Otu000006	21668	Bacteroidetes
Otu000007	21415	Firmicutes
Otu000008	17253	Firmicutes
Otu000009	16987	Firmicutes
Otu000010	14992	Bacteroidetes
Otu000011	14729	Bacteroidetes
Otu000012	13830	Firmicutes
Otu000013	11525	Firmicutes
Otu000014	11046	Firmicutes
Otu000015	10135	Firmicutes
Otu000016	9708	Firmicutes
Otu000017	9391	Bacteroidetes
Otu000018	7720	Bacteroidetes
Otu000019	7373	Firmicutes
Otu000020	7365	Firmicutes
Otu000021	6838	Firmicutes
Otu000022	6756	Firmicutes
Otu000023	6465	Bacteroidetes
Otu000024	6426	Firmicutes
Otu000025	6294	Firmicutes
Otu000026	6183	Firmicutes
Otu000027	5927	Firmicutes
Otu000028	5746	Actinobacteria
Otu000029	5586	Firmicutes
Otu000030	5017	Firmicutes
Otu000031	5013	Firmicutes
Otu000032	4891	Firmicutes
Otu000033	4853	Bacteroidetes
Otu000034	4809	Firmicutes
Otu000035	4650	Firmicutes
Otu000036	4496	Firmicutes
Otu000037	4363	Firmicutes
Otu000038	4306	Bacteroidetes
Otu000039	4126	Bacteroidetes
Otu000040	3975	Bacteroidetes
Otu000041	3924	Firmicutes
Otu000042	3891	Firmicutes
Otu000043	3889	Firmicutes
Otu000044	3857	Firmicutes
Otu000045	3756	Bacteroidetes
Otu000046	3636	Firmicutes
Otu000047	3535	Firmicutes
Otu000048	3319	Firmicutes
Otu000049	3226	Firmicutes
Otu000050	3222	Bacteroidetes
Otu000051	3215	Firmicutes
Otu000052	3186	Firmicutes
Otu000053	3131	unclassified
Otu000054	3094	Bacteroidetes
Otu000055	3082	Firmicutes
Otu000056	3074	Firmicutes
Otu000057	3053	Firmicutes
Otu000058	2884	Firmicutes
Otu000059	2782	Bacteroidetes
Otu000060	2755	Firmicutes
Otu000061	2715	Firmicutes
Otu000062	2712	Firmicutes
Otu000063	2653	Proteobacteria
Otu000064	2624	Bacteroidetes
Otu000065	2610	Firmicutes
Otu000066	2608	Bacteroidetes
Otu000067	2409	Bacteroidetes
Otu000068	2396	Firmicutes
Otu000069	2213	Firmicutes
Otu000070	2200	Bacteroidetes
Otu000071	2175	Firmicutes
Otu000072	2133	Firmicutes
Otu000073	2014	Firmicutes
Otu000074	2001	Actinobacteria
Otu000075	2001	Firmicutes
Otu000076	1930	Firmicutes
Otu000077	1903	Firmicutes
Otu000078	1895	Bacteroidetes
Otu000079	1895	Firmicutes
Otu000080	1815	Proteobacteria
Otu000081	1805	Bacteroidetes
Otu000082	1797	Firmicutes
Otu000083	1786	Firmicutes
Otu000084	1783	Firmicutes
Otu000085	1726	Firmicutes
Otu000086	1714	Firmicutes
Otu000087	1633	Firmicutes
Otu000088	1621	Firmicutes
Otu000089	1556	Actinobacteria
Otu000090	1552	Bacteroidetes
Otu000091	1543	Firmicutes
Otu000092	1469	Bacteroidetes
Otu000093	1460	Firmicutes
Otu000094	1442	Firmicutes
Otu000095	1436	Bacteroidetes
Otu000096	1415	Firmicutes
Otu000097	1372	Firmicutes
Otu000098	1322	Firmicutes
Otu000099	1311	Bacteroidetes
Otu000100	1294	Firmicutes
Otu000101	1291	Bacteroidetes
Otu000102	1286	Bacteroidetes
Otu000103	1280	Bacteroidetes
Otu000104	1263	Firmicutes
Otu000105	1248	Bacteroidetes
Otu000106	1181	Firmicutes
Otu000107	1158	Firmicutes
Otu000108	1156	unclassified
Otu000109	1143	unclassified
Otu000110	1073	unclassified
Otu000111	1039	Proteobacteria
Otu000112	972	Firmicutes
Otu000113	969	Proteobacteria
Otu000114	939	Bacteroidetes
Otu000115	936	Firmicutes
Otu000116	903	Bacteroidetes
Otu000117	898	Firmicutes
Otu000118	897	Firmicutes
Otu000119	896	Firmicutes
Otu000120	880	Firmicutes
Otu000121	878	Firmicutes
Otu000122	872	Firmicutes
Otu000123	869	Bacteroidetes
Otu000124	842	Firmicutes
Otu000125	834	Firmicutes
Otu000126	830	Firmicutes
Otu000127	829	Firmicutes
Otu000128	808	Bacteroidetes
Otu000129	802	Firmicutes
Otu000130	795	Firmicutes
Otu000131	794	Firmicutes
Otu000132	772	Firmicutes
Otu000133	760	Firmicutes
Otu000134	760	Verrucomicrobia
Otu000135	747	Firmicutes
Otu000136	705	Firmicutes
Otu000137	693	Firmicutes
Otu000138	689	Firmicutes
Otu000139	677	Firmicutes
Otu000140	656	Bacteroidetes
Otu000141	656	Firmicutes
Otu000142	652	Firmicutes
Otu000143	649	Firmicutes
Otu000144	647	Bacteroidetes
Otu000145	644	Firmicutes
Otu000146	642	Bacteroidetes
Otu000147	641	Actinobacteria
Otu000148	631	Firmicutes
Otu000149	612	Firmicutes
Otu000150	604	Bacteroidetes
Otu000151	602	Firmicutes
Otu000152	598	Firmicutes
Otu000153	595	Firmicutes
Otu000154	593	Firmicutes
Otu000155	593	Firmicutes
Otu000156	578	Firmicutes
Otu000157	576	Bacteroidetes
Otu000158	573	Firmicutes
Otu000159	569	Bacteroidetes
Otu000160	562	Firmicutes
Otu000161	553	Bacteroidetes
Otu000162	540	Bacteroidetes
Otu000163	534	Firmicutes
Otu000164	531	Firmicutes
Otu000165	514	Firmicutes
Otu000166	487	Firmicutes
Otu000167	475	Firmicutes
Otu000168	471	Firmicutes
Otu000169	470	Firmicutes
Otu000170	469	Firmicutes
Otu000171	469	Firmicutes
Otu000172	459	Firmicutes
Otu000173	459	Firmicutes
Otu000174	456	unclassified
Otu000175	451	unclassified
Otu000176	445	Firmicutes
Otu000177	445	Bacteroidetes
Otu000178	444	Firmicutes
Otu000179	442	Firmicutes
Otu000180	439	Bacteroidetes
Otu000181	435	Bacteroidetes
Otu000182	424	Firmicutes
Otu000183	423	Firmicutes
Otu000184	416	Firmicutes
Otu000185	415	Firmicutes
Otu000186	406	Firmicutes
Otu000187	404	Firmicutes
Otu000188	400	Firmicutes
Otu000189	398	Firmicutes
Otu000190	397	unclassified
Otu000191	396	Firmicutes
Otu000192	388	unclassified
Otu000193	388	Firmicutes
Otu000194	386	Firmicutes
Otu000195	383	Bacteroidetes
Otu000196	381	Firmicutes
Otu000197	380	Firmicutes
Otu000198	376	Firmicutes
Otu000199	375	Bacteroidetes
Otu000200	372	unclassified
Otu000201	371	Firmicutes
Otu000202	371	Firmicutes
Otu000203	368	Bacteroidetes
Otu000204	366	Firmicutes
Otu000205	363	Firmicutes
Otu000206	362	Proteobacteria
Otu000207	355	Firmicutes
Otu000208	353	Firmicutes
Otu000209	350	Firmicutes
Otu000210	345	Actinobacteria
Otu000211	344	Firmicutes
Otu000212	343	Firmicutes
Otu000213	339	Firmicutes
Otu000214	335	Firmicutes
Otu000215	330	unclassified
Otu000216	327	Firmicutes
Otu000217	326	Firmicutes
Otu000218	322	Actinobacteria
Otu000219	319	Firmicutes
Otu000220	318	Firmicutes
Otu000221	317	Bacteroidetes
Otu000222	311	Firmicutes
Otu000223	306	Proteobacteria
