OTU	Size	Taxonomy
Otu00001	30803	Firmicutes
Otu00002	21109	Firmicutes
Otu00003	14885	Bacteroidetes
Otu00004	10411	Bacteroidetes
Otu00005	9971	Firmicutes
Otu00006	6055	Firmicutes
Otu00007	5230	Bacteroidetes
Otu00008	4927	unclassified
Otu00009	4548	Firmicutes
Otu00010	4314	Bacteroidetes
Otu00011	4193	Firmicutes
Otu00012	4115	Firmicutes
Otu00013	4059	Firmicutes
Otu00014	3759	Verrucomicrobia
Otu00015	3646	Firmicutes
Otu00016	3513	Firmicutes
Otu00017	3475	Firmicutes
Otu00018	3430	Firmicutes
Otu00019	3158	Firmicutes
Otu00020	2966	Proteobacteria
Otu00021	2921	Firmicutes
Otu00022	2560	Firmicutes
Otu00023	2382	Firmicutes
Otu00024	2335	Bacteroidetes
Otu00025	2280	Firmicutes
Otu00026	2183	Firmicutes
Otu00027	2175	unclassified
Otu00028	2095	Bacteroidetes
Otu00029	2011	Firmicutes
Otu00030	2008	Firmicutes
Otu00031	1936	Bacteroidetes
Otu00032	1934	Firmicutes
Otu00033	1846	unclassified
Otu00034	1833	Bacteroidetes
Otu00035	1794	Firmicutes
Otu00036	1788	Firmicutes
Otu00037	1735	Firmicutes
Otu00038	1602	unclassified
Otu00039	1575	Bacteroidetes
Otu00040	1547	Firmicutes
Otu00041	1546	Firmicutes
Otu00042	1491	Bacteroidetes
Otu00043	1471	Firmicutes
Otu00044	1461	Firmicutes
Otu00045	1458	unclassified
Otu00046	1449	Bacteroidetes
Otu00047	1445	Firmicutes
Otu00048	1437	Firmicutes
Otu00049	1430	unclassified
Otu00050	1415	unclassified
Otu00051	1360	Firmicutes
Otu00052	1237	Firmicutes
Otu00053	1216	Bacteroidetes
Otu00054	1212	Firmicutes
Otu00055	1177	Firmicutes
Otu00056	1136	unclassified
Otu00057	1132	Firmicutes
Otu00058	1115	Firmicutes
Otu00059	1098	unclassified
Otu00060	1046	Proteobacteria
Otu00061	1046	unclassified
Otu00062	1025	Bacteroidetes
Otu00063	1013	Firmicutes
Otu00064	1010	unclassified
Otu00065	998	Firmicutes
Otu00066	997	Firmicutes
Otu00067	981	Firmicutes
Otu00068	976	Bacteroidetes
Otu00069	975	Firmicutes
Otu00070	969	Firmicutes
Otu00071	911	Firmicutes
Otu00072	911	unclassified
Otu00073	900	Firmicutes
Otu00074	900	Firmicutes
Otu00075	882	Firmicutes
Otu00076	879	Actinobacteria
Otu00077	873	Bacteroidetes
Otu00078	867	Proteobacteria
Otu00079	866	Firmicutes
Otu00080	798	Firmicutes
Otu00081	747	Firmicutes
Otu00082	738	unclassified
Otu00083	733	Firmicutes
Otu00084	732	unclassified
Otu00085	716	Bacteroidetes
Otu00086	709	unclassified
Otu00087	709	Firmicutes
Otu00088	701	unclassified
Otu00089	667	Firmicutes
Otu00090	663	Bacteroidetes
Otu00091	651	Firmicutes
Otu00092	648	unclassified
Otu00093	645	Firmicutes
Otu00094	640	Firmicutes
Otu00095	611	Actinobacteria
Otu00096	606	Firmicutes
Otu00097	603	Firmicutes
Otu00098	599	unclassified
Otu00099	579	Firmicutes
Otu00100	574	Firmicutes
Otu00101	572	Firmicutes
Otu00102	565	Firmicutes
Otu00103	553	Firmicutes
Otu00104	533	unclassified
Otu00105	526	Firmicutes
Otu00106	521	Firmicutes
Otu00107	512	unclassified
Otu00108	510	Verrucomicrobia
Otu00109	499	unclassified
Otu00110	498	unclassified
Otu00111	496	Firmicutes
Otu00112	491	Bacteroidetes
Otu00113	467	unclassified
Otu00114	454	unclassified
Otu00115	447	Bacteroidetes
Otu00116	440	Firmicutes
Otu00117	437	unclassified
Otu00118	437	Bacteroidetes
Otu00119	432	unclassified
Otu00120	430	unclassified
Otu00121	429	unclassified
Otu00122	426	Bacteroidetes
Otu00123	424	Firmicutes
Otu00124	422	Firmicutes
Otu00125	420	Bacteroidetes
Otu00126	414	unclassified
Otu00127	413	Firmicutes
Otu00128	412	Bacteroidetes
Otu00129	412	Bacteroidetes
Otu00130	412	Bacteroidetes
Otu00131	411	Bacteroidetes
Otu00132	409	Firmicutes
Otu00133	407	Firmicutes
Otu00134	397	Firmicutes
Otu00135	393	unclassified
Otu00136	392	Firmicutes
Otu00137	391	Bacteroidetes
Otu00138	382	unclassified
Otu00139	379	Firmicutes
Otu00140	376	unclassified
Otu00141	372	Firmicutes
Otu00142	372	unclassified
Otu00143	370	Proteobacteria
Otu00144	367	Firmicutes
Otu00145	360	unclassified
Otu00146	355	Firmicutes
Otu00147	351	Firmicutes
Otu00148	351	Firmicutes
Otu00149	350	Firmicutes
Otu00150	349	unclassified
Otu00151	344	Firmicutes
Otu00152	340	Bacteroidetes
Otu00153	339	unclassified
Otu00154	336	Firmicutes
Otu00155	334	Firmicutes
Otu00156	334	Firmicutes
Otu00157	331	unclassified
Otu00158	330	Bacteroidetes
Otu00159	330	Bacteroidetes
Otu00160	326	unclassified
Otu00161	322	Bacteroidetes
Otu00162	318	unclassified
Otu00163	316	Bacteroidetes
Otu00164	315	Firmicutes
Otu00165	310	Firmicutes
