OTU	Size	Taxonomy
Otu001	7434740	Bacteroidetes
Otu002	3595088	Firmicutes
Otu003	2207451	Firmicutes
Otu004	1564989	unclassified
Otu005	2130467	Firmicutes
Otu006	1146975	Firmicutes
Otu007	1461281	Firmicutes
Otu008	1773588	Bacteroidetes
Otu009	1282799	Firmicutes
Otu010	1342379	Firmicutes
Otu011	127833	Bacteroidetes
Otu012	1181165	Firmicutes
Otu013	757684	Actinobacteria
Otu014	762612	Bacteroidetes
Otu015	347217	Bacteroidetes
Otu016	1210361	Proteobacteria
Otu017	83531	Proteobacteria
Otu018	423728	Bacteroidetes
Otu019	483633	Firmicutes
Otu020	895323	Verrucomicrobia
Otu021	177175	Firmicutes
Otu022	462133	Firmicutes
Otu023	375783	Firmicutes
Otu024	74285	Proteobacteria
Otu025	373660	Firmicutes
Otu026	451681	Firmicutes
Otu027	36325	Firmicutes
Otu028	417194	Firmicutes
Otu029	501847	Bacteroidetes
Otu030	204062	Firmicutes
Otu031	543174	Firmicutes
Otu032	17162	Actinobacteria
Otu033	108197	Firmicutes
Otu034	40960	Actinobacteria
Otu035	71159	Actinobacteria
Otu036	223321	Firmicutes
Otu037	14246	Firmicutes
Otu038	79553	Proteobacteria
Otu039	97671	Bacteroidetes
Otu040	13792	Actinobacteria
Otu041	98108	Firmicutes
Otu042	87193	Bacteroidetes
Otu043	9057	Firmicutes
Otu044	98827	Proteobacteria
Otu045	49999	Bacteroidetes
Otu046	9692	Firmicutes
Otu047	43802	Proteobacteria
Otu048	271964	Firmicutes
Otu049	61732	Bacteroidetes
Otu050	96007	Firmicutes
Otu051	31072	Firmicutes
Otu052	45094	Firmicutes
Otu053	5521	Proteobacteria
Otu054	109042	Firmicutes
Otu055	49083	Bacteroidetes
Otu056	5377	Firmicutes
Otu057	6958	Actinobacteria
Otu058	49522	Firmicutes
Otu059	9216	Proteobacteria
Otu060	41849	Firmicutes
Otu061	41240	Firmicutes
Otu062	32616	Proteobacteria
Otu063	53988	Proteobacteria
Otu064	25271	Firmicutes
Otu065	4337	Firmicutes
Otu066	25011	Firmicutes
Otu067	175523	Firmicutes
Otu068	12169	Actinobacteria
Otu069	26140	Proteobacteria
Otu070	10939	Firmicutes
Otu071	9476	Firmicutes
Otu072	25922	Firmicutes
Otu073	34732	Firmicutes
Otu074	34952	Proteobacteria
Otu075	7470	Actinobacteria
Otu076	23672	Firmicutes
Otu077	48902	Proteobacteria
Otu078	17167	Proteobacteria
Otu079	6607	Proteobacteria
Otu080	1736	Firmicutes
Otu081	6013	Actinobacteria
Otu082	4216	Firmicutes
Otu083	1243	Firmicutes
Otu084	1142	Firmicutes
Otu085	20583	Firmicutes
Otu086	2217	Fusobacteria
Otu087	1213	Firmicutes
Otu088	5678	Actinobacteria
Otu089	14256	Fusobacteria
Otu090	853	Bacteroidetes
Otu091	953	Proteobacteria
Otu092	3809	Actinobacteria
Otu093	5243	Firmicutes
Otu094	6412	Actinobacteria
Otu095	3461	Firmicutes
Otu096	4076	Firmicutes
Otu097	9446	Lentisphaerae
Otu098	2131	Actinobacteria
Otu099	4853	Firmicutes
Otu100	480	Bacteroidetes
Otu101	10167	Firmicutes
Otu102	3734	Bacteroidetes
Otu103	393	Firmicutes
Otu104	1749	Firmicutes
Otu105	5240	Firmicutes
Otu106	417	Firmicutes
Otu107	373	Firmicutes
Otu108	1129	Firmicutes
Otu109	3338	Firmicutes
Otu110	5645	Proteobacteria
Otu111	558	Proteobacteria
Otu112	705	Firmicutes
Otu113	2214	Firmicutes
Otu114	2335	Synergistetes
Otu115	455	Proteobacteria
Otu116	253	Proteobacteria
Otu117	5964	Firmicutes
Otu118	216	Proteobacteria
Otu119	915	Firmicutes
Otu120	1841	Proteobacteria
Otu121	190	Firmicutes
Otu122	556	Actinobacteria
Otu123	514	Firmicutes
Otu124	181	Firmicutes
Otu125	1020	Firmicutes
Otu126	338	Proteobacteria
