ID,MH0001,MH0002,MH0003,MH0004,MH0005,MH0006,MH0007,MH0008,MH0009,MH0010,MH0011,MH0012,MH0013,MH0014,MH0015,MH0016,MH0017,MH0018,MH0019,MH0020,MH0021,MH0022,MH0023,MH0024,MH0025,MH0026,MH0027,MH0028,MH0030,MH0031,MH0032,MH0033,MH0034,MH0035,MH0036,MH0037,MH0038,MH0039,MH0040,MH0041,MH0042,MH0043,MH0044,MH0045,MH0046,MH0047,MH0048,MH0049,MH0050,MH0051,MH0052,MH0053,MH0054,MH0055,MH0056,MH0057,MH0058,MH0059,MH0060,MH0061,MH0062,MH0063,MH0064,MH0065,MH0066,MH0067,MH0068,MH0069,MH0070,MH0071,MH0072,MH0073,MH0074,MH0075,MH0076,MH0077,MH0078,MH0079,MH0080,MH0081,MH0082,MH0083,MH0084,MH0085,MH0086
Acidobacteria,0.00697,0,0,0.01703,0,0,0.00698,0,0,0,0,0,0.00422,0,0,0,0.02161,0,0.00392,0,0,0.02822,0,0,0.00911,0,0,0.00628,0,0.00584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0.78076,1.30735,1.0906,1.82103,1.34059,0.15905,1.39099,4.97381,0.40464,0.34929,1.40407,4.45498,3.13616,0.40014,7.41458,0.30207,1.94694,0.4391,0.28766,2.44405,1.69981,0.46247,2.61984,0.08389,3.21176,0.48383,2.45863,1.07351,1.11915,1.14709,0.36768,0.80059,0.16264,2.89476,0.00455,0.40202,0.86385,1.12147,0.74094,9.3853,5.03493,0.82311,0.80871,0.69154,0.20198,0.93264,2.36103,0.59802,1.19128,0.12477,0.45491,2.86566,1.90458,0.95222,1.20806,0.32837,0.75309,2.33503,1.07204,0.06524,3.02843,0.46258,0.68877,0.35074,4.81073,0.96425,1.14464,3.59799,0.61702,2.45773,1.07017,0.95903,1.26508,0.75249,0.89817,0.97453,0.34129,0.17865,0.15,0.5739,0.71155,1.93702,0.11416,0.72798,9.27342
Bacteroidetes,76.10888,30.11882,31.52872,36.89224,53.28793,56.93942,17.88755,28.03794,18.91574,54.88461,45.33704,42.99682,40.33706,32.5722,47.12803,61.59301,40.8923,79.34704,42.88431,69.72976,44.25869,9.19956,39.67737,67.25339,36.68232,66.19581,40.32075,66.22627,13.80758,21.26524,73.41938,32.33243,79.64012,44.97233,52.3466,47.89142,44.69403,63.63654,49.28922,38.22007,31.84201,50.63982,26.07951,53.99852,48.07895,58.01291,38.31285,55.05575,33.96016,38.18645,23.42027,10.18798,20.38564,48.29995,27.87767,60.88346,51.89012,28.76241,21.87328,74.38679,30.48992,36.792,65.4188,46.94722,42.22579,64.85675,49.69237,28.34343,35.00656,45.345,32.9645,44.72272,62.64283,29.33942,52.48468,38.46794,61.38535,40.32736,41.22108,55.81459,18.82102,48.05822,83.06275,63.92596,16.13981
Candidatus_Saccharibacteria,0,0,0,0,0,0,0,0.00104,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobi,0.00289,0,0,0,0.00871,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,22.15813,62.62974,66.27167,59.95157,44.35237,42.43693,77.3462,57.05914,74.89088,43.90671,42.65355,41.14044,43.6497,41.42631,44.90618,37.60461,54.13609,16.57727,54.95601,26.23316,49.8294,75.36599,57.5367,28.87626,45.00286,32.69611,54.5201,29.88058,84.34812,76.65419,25.06958,65.8879,19.58162,46.58642,47.37417,43.28632,53.64367,33.01042,49.58309,50.07483,61.44131,46.82319,72.69954,43.43526,49.04493,40.58709,56.59861,40.20726,62.65965,60.15494,72.28185,86.25887,62.82249,48.61186,68.46549,35.35144,42.24388,62.53862,58.71467,24.41065,62.23366,62.35161,31.66998,50.36751,50.14826,30.99883,47.11394,67.47623,62.88245,48.57016,62.24842,48.48506,32.55511,66.92426,46.15434,58.5028,36.82947,51.34862,57.88392,41.70207,79.22807,48.17303,16.00821,32.76208,72.50907
Fusobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151,0.35359,0,0,0,0,0,0,0,0,0,0.00604,0.01093,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0.76771,0.72278,1.10901,0.85372,0.55036,0.44915,0.35502,9.91782,1.83953,0.85939,1.10001,2.46721,0.70367,25.34878,0.55121,0.47158,1.90286,3.59606,1.71825,1.59304,3.41832,0.16548,0.10658,0.01156,11.22183,0.29004,1.02276,2.18042,0.47079,0.38129,0.66114,0.84884,0.61561,0.63047,0.17034,1.46531,0.78634,1.97542,0.03193,2.10328,0.46887,0.6382,0.26812,1.47966,2.47035,0.46736,0.8244,4.13689,0.47829,1.43289,3.30201,0.37523,4.20553,2.13597,1.93288,2.98053,3.8858,2.4618,0.50923,1.12068,3.69338,0.17531,1.50898,1.18854,1.28035,3.06854,1.41221,0.57318,1.29488,1.27463,3.55698,5.79454,2.51234,2.30012,0.42958,1.74788,1.21723,5.50581,0.45773,1.45701,0.94357,1.50216,0.79153,2.49842,1.99644
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E-04,0.08259,0,0,0.04786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,0.04898,5.07573,0,0,0.34968,0.00598,2.40711,0,1.65814,0,5.74327,5.4756,10.41409,0.18716,0,0.02558,0.10177,0.00648,0.0326,0,0.66253,13.82281,0.03663,0.00542,3.33616,0.28,1.65508,0.5761,0,0.21606,0.05925,0.00377,0,4.83003,0.00485,6.6831,0.00187,0.24487,0.35482,0.1287,0.98859,1.05565,0.00791,0.2426,0.11545,0,1.87139,0,1.58729,0.00524,0,0,10.5864,0,0.01628,0.09506,1.15072,1.86051,17.21302,0,0,0,0.71233,0.04466,1.35169,0.11132,0.35473,0,0.0621,2.19171,0,0.02249,0.02149,0.48639,0.03323,0,0,0,0.09016,0.01229,0.09026,0.32957,0.02189,0,0.08054
