OTU,Size,Taxonomy
Otu00001,45160,Firmicutes
Otu00002,37082,Firmicutes
Otu00003,35599,Bacteroidetes
Otu00004,34764,Bacteroidetes
Otu00005,26748,Bacteroidetes
Otu00006,25612,Bacteroidetes
Otu00007,22285,Bacteroidetes
Otu00008,21240,Bacteroidetes
Otu00009,19447,Bacteroidetes
Otu00010,19355,Bacteroidetes
Otu00011,18414,Firmicutes
Otu00012,18385,Bacteroidetes
Otu00013,16610,Bacteroidetes
Otu00014,16449,Firmicutes
Otu00015,16448,Bacteroidetes
Otu00016,16151,Firmicutes
Otu00017,16053,Bacteroidetes
Otu00018,14977,Bacteroidetes
Otu00019,14763,Firmicutes
Otu00020,14759,Bacteroidetes
Otu00021,14507,Bacteroidetes
Otu00022,12947,Bacteroidetes
Otu00023,12886,Firmicutes
Otu00024,12885,Bacteroidetes
Otu00025,12875,Bacteroidetes
Otu00026,12565,Bacteroidetes
Otu00027,12253,Bacteroidetes
Otu00028,12152,Firmicutes
Otu00029,11825,unclassified
Otu00030,11590,Firmicutes
Otu00031,10963,Firmicutes
Otu00032,10881,Bacteroidetes
Otu00033,10795,Firmicutes
Otu00034,10792,Bacteroidetes
Otu00035,10749,Bacteroidetes
Otu00036,10626,Firmicutes
Otu00037,10493,Firmicutes
Otu00038,9627,Firmicutes
Otu00039,9498,Firmicutes
Otu00040,9097,Firmicutes
Otu00041,9024,Firmicutes
Otu00042,8954,Firmicutes
Otu00043,8845,Bacteroidetes
Otu00044,8766,Firmicutes
Otu00045,8743,Firmicutes
Otu00046,8491,Firmicutes
Otu00047,8344,Firmicutes
Otu00048,8242,Bacteroidetes
Otu00049,8201,Firmicutes
Otu00050,8157,Bacteroidetes
Otu00051,7947,Firmicutes
Otu00052,7692,Firmicutes
Otu00053,7455,Firmicutes
Otu00054,7445,Firmicutes
Otu00055,7426,Firmicutes
Otu00056,7342,Firmicutes
Otu00057,7303,Firmicutes
Otu00058,7130,Bacteroidetes
Otu00059,7058,Firmicutes
Otu00060,6724,Firmicutes
Otu00061,6689,Bacteroidetes
Otu00062,6671,Actinobacteria
Otu00063,6594,Firmicutes
Otu00064,6594,Firmicutes
Otu00065,6561,unclassified
