OTU	Size	Taxonomy
Otu00001	50132	Bacteroidetes
Otu00002	16190	Bacteroidetes
Otu00003	16015	Bacteroidetes
Otu00004	13039	Bacteroidetes
Otu00005	11408	Firmicutes
Otu00006	10691	Firmicutes
Otu00007	8678	Bacteroidetes
Otu00008	6388	Bacteroidetes
Otu00009	5142	Bacteroidetes
Otu00010	5134	Bacteroidetes
Otu00011	5091	Bacteroidetes
Otu00012	5064	Firmicutes
Otu00013	4832	Firmicutes
Otu00014	4725	Bacteroidetes
Otu00015	4626	Bacteroidetes
Otu00016	4546	Bacteroidetes
Otu00017	3127	Bacteroidetes
Otu00018	3105	Firmicutes
Otu00019	2847	Firmicutes
Otu00020	2720	Firmicutes
Otu00021	2655	Bacteroidetes
Otu00022	2476	Fusobacteria
Otu00023	2403	Bacteroidetes
Otu00024	2272	Firmicutes
Otu00025	2115	Bacteroidetes
Otu00026	2115	unclassified
Otu00027	2051	Firmicutes
Otu00028	2000	Bacteroidetes
Otu00029	1869	Bacteroidetes
Otu00030	1826	Firmicutes
Otu00031	1759	Firmicutes
Otu00032	1735	Firmicutes
Otu00033	1670	Firmicutes
Otu00034	1635	Firmicutes
Otu00035	1597	Firmicutes
Otu00036	1588	Firmicutes
Otu00037	1511	Bacteroidetes
Otu00038	1437	Firmicutes
Otu00039	1433	Firmicutes
Otu00040	1416	Bacteroidetes
Otu00041	1396	Firmicutes
Otu00042	1363	Bacteroidetes
Otu00043	1360	Firmicutes
Otu00044	1330	Firmicutes
Otu00045	1302	Firmicutes
Otu00046	1279	Bacteroidetes
Otu00047	1186	Firmicutes
Otu00048	1094	Firmicutes
Otu00049	1086	Firmicutes
Otu00050	1045	Bacteroidetes
Otu00051	1036	Bacteroidetes
Otu00052	1027	Firmicutes
Otu00053	1013	Firmicutes
Otu00054	955	Firmicutes
Otu00055	955	Bacteroidetes
Otu00056	951	Firmicutes
Otu00057	949	Firmicutes
Otu00058	934	Proteobacteria
Otu00059	930	Firmicutes
Otu00060	930	Bacteroidetes
Otu00061	927	Proteobacteria
Otu00062	895	unclassified
Otu00063	884	Firmicutes
Otu00064	867	Bacteroidetes
Otu00065	820	Firmicutes
Otu00066	800	Bacteroidetes
Otu00067	794	Firmicutes
Otu00068	783	unclassified
Otu00069	782	unclassified
Otu00070	777	Firmicutes
Otu00071	762	Firmicutes
Otu00072	755	unclassified
Otu00073	724	Firmicutes
Otu00074	710	Proteobacteria
Otu00075	704	Firmicutes
Otu00076	683	Firmicutes
Otu00077	679	Bacteroidetes
Otu00078	667	unclassified
Otu00079	648	Firmicutes
Otu00080	642	Bacteroidetes
Otu00081	629	Firmicutes
Otu00082	621	Firmicutes
Otu00083	611	Bacteroidetes
Otu00084	600	Firmicutes
Otu00085	587	Firmicutes
Otu00086	578	unclassified
Otu00087	554	Firmicutes
Otu00088	548	Firmicutes
Otu00089	545	Firmicutes
Otu00090	542	Firmicutes
Otu00091	536	Bacteroidetes
Otu00092	528	Bacteroidetes
Otu00093	528	Firmicutes
Otu00094	527	Firmicutes
Otu00095	523	Bacteroidetes
Otu00096	521	unclassified
Otu00097	514	Bacteroidetes
Otu00098	510	Firmicutes
Otu00099	508	Firmicutes
Otu00100	493	Firmicutes
Otu00101	489	Firmicutes
Otu00102	468	Firmicutes
Otu00103	463	Firmicutes
Otu00104	460	unclassified
Otu00105	449	unclassified
Otu00106	439	Firmicutes
Otu00107	434	Firmicutes
Otu00108	424	Firmicutes
Otu00109	415	Bacteroidetes
Otu00110	413	Firmicutes
Otu00111	402	Firmicutes
Otu00112	397	Firmicutes
Otu00113	380	Proteobacteria
Otu00114	378	Firmicutes
Otu00115	372	Firmicutes
Otu00116	370	Firmicutes
Otu00117	370	Firmicutes
Otu00118	362	Firmicutes
Otu00119	361	Firmicutes
Otu00120	360	Firmicutes
Otu00121	352	Firmicutes
Otu00122	351	Firmicutes
Otu00123	343	Firmicutes
Otu00124	338	Bacteroidetes
Otu00125	335	Firmicutes
Otu00126	327	Proteobacteria
Otu00127	324	unclassified
Otu00128	312	Firmicutes
Otu00129	298	unclassified
Otu00130	295	Firmicutes
Otu00131	294	Firmicutes
Otu00132	294	Firmicutes
Otu00133	292	Firmicutes
Otu00134	287	Firmicutes
Otu00135	284	Firmicutes
Otu00136	280	Bacteroidetes
Otu00137	280	Firmicutes
Otu00138	272	unclassified
Otu00139	268	Firmicutes
Otu00140	268	Firmicutes
Otu00141	267	Firmicutes
Otu00142	266	Firmicutes
Otu00143	261	Firmicutes
Otu00144	258	Bacteroidetes
Otu00145	257	Firmicutes
Otu00146	256	Bacteroidetes
Otu00147	254	Firmicutes
Otu00148	253	Bacteroidetes
Otu00149	252	Firmicutes
Otu00150	249	Firmicutes
Otu00151	249	Bacteroidetes
Otu00152	243	Firmicutes
Otu00153	242	Bacteroidetes
Otu00154	241	Bacteroidetes
Otu00155	239	Firmicutes
Otu00156	238	Firmicutes
Otu00157	233	Bacteroidetes
Otu00158	228	Firmicutes
Otu00159	226	Firmicutes
Otu00160	224	Bacteroidetes
Otu00161	223	Bacteroidetes
Otu00162	222	Bacteroidetes
Otu00163	221	Firmicutes
Otu00164	220	Firmicutes
Otu00165	220	Firmicutes
Otu00166	220	Firmicutes
Otu00167	215	Firmicutes
Otu00168	210	Bacteroidetes
Otu00169	210	Firmicutes
Otu00170	208	Firmicutes
Otu00171	205	Firmicutes
Otu00172	203	Firmicutes
Otu00173	202	unclassified
Otu00174	198	Proteobacteria
Otu00175	198	Firmicutes
Otu00176	197	Bacteroidetes
Otu00177	195	Firmicutes
Otu00178	194	Proteobacteria
Otu00179	186	Firmicutes
Otu00180	186	unclassified
Otu00181	186	Firmicutes
Otu00182	186	Firmicutes
Otu00183	186	Firmicutes
Otu00184	185	Firmicutes
Otu00185	182	unclassified
Otu00186	176	Firmicutes
Otu00187	172	Firmicutes
Otu00188	172	Firmicutes
Otu00189	171	Firmicutes
Otu00190	170	Firmicutes
Otu00191	170	Firmicutes
Otu00192	169	unclassified
Otu00193	168	Bacteroidetes
Otu00194	165	Firmicutes
Otu00195	163	Firmicutes
Otu00196	163	Bacteroidetes
Otu00197	162	unclassified
Otu00198	161	Firmicutes
Otu00199	160	Bacteroidetes
Otu00200	156	Firmicutes
Otu00201	156	Fusobacteria
Otu00202	154	Firmicutes
Otu00203	152	Bacteroidetes
Otu00204	151	Firmicutes
Otu00205	148	Firmicutes
Otu00206	147	Bacteroidetes
Otu00207	146	Bacteroidetes
Otu00208	146	Bacteroidetes
Otu00209	146	Bacteroidetes
Otu00210	145	Firmicutes
Otu00211	144	Firmicutes
Otu00212	143	Bacteroidetes
Otu00213	140	unclassified
Otu00214	139	Firmicutes
Otu00215	138	Firmicutes
Otu00216	137	Firmicutes
Otu00217	136	Fusobacteria
Otu00218	135	unclassified
Otu00219	134	Firmicutes
Otu00220	134	Bacteroidetes
Otu00221	133	Firmicutes
Otu00222	133	Bacteroidetes
Otu00223	132	Bacteroidetes
Otu00224	130	Firmicutes
Otu00225	130	Bacteroidetes
Otu00226	130	Bacteroidetes
Otu00227	129	Firmicutes
Otu00228	129	unclassified
Otu00229	127	Firmicutes
Otu00230	125	Firmicutes
Otu00231	123	Firmicutes
Otu00232	122	Firmicutes
Otu00233	122	Firmicutes
Otu00234	121	Firmicutes
Otu00235	121	Proteobacteria
Otu00236	115	Firmicutes
Otu00237	114	Firmicutes
Otu00238	112	Firmicutes
Otu00239	107	Firmicutes
Otu00240	107	Firmicutes
Otu00241	107	Firmicutes
Otu00242	106	Firmicutes
Otu00243	106	unclassified
Otu00244	103	Firmicutes
Otu00245	103	Firmicutes
Otu00246	101	unclassified
Otu00247	100	Firmicutes
Otu00248	100	Proteobacteria
Otu00249	100	Firmicutes
Otu00250	99	Firmicutes
Otu00251	99	Firmicutes
Otu00252	98	Firmicutes
Otu00253	98	Firmicutes
Otu00254	97	Firmicutes
Otu00255	96	Bacteroidetes
Otu00256	96	Bacteroidetes
Otu00257	95	Proteobacteria
Otu00258	94	Firmicutes
Otu00259	93	Firmicutes
Otu00260	93	Firmicutes
Otu00261	92	Firmicutes
Otu00262	91	Firmicutes
Otu00263	87	unclassified
Otu00264	85	Bacteroidetes
Otu00265	84	Firmicutes
Otu00266	84	Firmicutes
Otu00267	84	Proteobacteria
Otu00268	80	Firmicutes
Otu00269	80	Bacteroidetes
Otu00270	80	Firmicutes
Otu00271	79	Bacteroidetes
Otu00272	79	Firmicutes
Otu00273	78	unclassified
Otu00274	76	Firmicutes
Otu00275	76	Firmicutes
Otu00276	76	Bacteroidetes
Otu00277	75	Bacteroidetes
Otu00278	74	Bacteroidetes
Otu00279	73	Firmicutes
Otu00280	73	Firmicutes
Otu00281	72	Firmicutes
Otu00282	72	Bacteroidetes
Otu00283	72	Firmicutes
Otu00284	72	Firmicutes
Otu00285	71	Firmicutes
Otu00286	70	Firmicutes
Otu00287	70	Firmicutes
Otu00288	68	Firmicutes
Otu00289	67	unclassified
Otu00290	67	Bacteroidetes
Otu00291	67	Firmicutes
Otu00292	67	Firmicutes
Otu00293	66	unclassified
Otu00294	66	Firmicutes
Otu00295	66	Bacteroidetes
Otu00296	65	Firmicutes
Otu00297	65	Bacteroidetes
Otu00298	64	Firmicutes
Otu00299	64	Firmicutes
Otu00300	63	Bacteroidetes
Otu00301	63	Firmicutes
Otu00302	63	Firmicutes
Otu00303	62	Firmicutes
Otu00304	62	Firmicutes
Otu00305	62	Firmicutes
Otu00306	61	Firmicutes
Otu00307	61	Bacteroidetes
Otu00308	61	Firmicutes
Otu00309	61	unclassified
Otu00310	60	Firmicutes
Otu00311	60	Firmicutes
Otu00312	59	Firmicutes
Otu00313	59	Bacteroidetes
Otu00314	59	Bacteroidetes
Otu00315	58	Firmicutes
Otu00316	57	Firmicutes
Otu00317	57	Firmicutes
Otu00318	56	Firmicutes
Otu00319	56	Firmicutes
Otu00320	55	Firmicutes
Otu00321	55	unclassified
Otu00322	55	Firmicutes
Otu00323	55	Firmicutes
Otu00324	54	Firmicutes
Otu00325	54	Firmicutes
Otu00326	54	Firmicutes
Otu00327	54	Firmicutes
Otu00328	54	Proteobacteria
Otu00329	53	unclassified
Otu00330	53	Firmicutes
Otu00331	53	Firmicutes
Otu00332	53	Firmicutes
Otu00333	53	Firmicutes
Otu00334	53	unclassified
Otu00335	52	unclassified
Otu00336	52	Firmicutes
Otu00337	51	unclassified
Otu00338	50	Bacteroidetes
Otu00339	50	Firmicutes
Otu00340	50	Firmicutes
Otu00341	50	Firmicutes
Otu00342	50	Firmicutes
Otu00343	49	Firmicutes
Otu00344	49	Firmicutes
Otu00345	49	Firmicutes
Otu00346	48	Firmicutes
Otu00347	48	Proteobacteria
Otu00348	48	Firmicutes
Otu00349	47	Firmicutes
Otu00350	47	Firmicutes
Otu00351	47	Firmicutes
Otu00352	47	Firmicutes
Otu00353	47	Firmicutes
Otu00354	46	Proteobacteria
Otu00355	46	Firmicutes
Otu00356	45	Firmicutes
Otu00357	45	Firmicutes
Otu00358	45	Firmicutes
Otu00359	45	Firmicutes
Otu00360	45	Firmicutes
Otu00361	45	Firmicutes
Otu00362	45	Firmicutes
Otu00363	44	Bacteroidetes
Otu00364	44	TM7
Otu00365	44	unclassified
Otu00366	44	Firmicutes
Otu00367	44	Firmicutes
Otu00368	44	Firmicutes
Otu00369	44	Bacteroidetes
Otu00370	43	Firmicutes
Otu00371	43	Proteobacteria
Otu00372	43	Firmicutes
Otu00373	43	Firmicutes
Otu00374	43	Firmicutes
Otu00375	43	Firmicutes
Otu00376	43	Firmicutes
Otu00377	43	Firmicutes
Otu00378	42	Actinobacteria
Otu00379	42	Firmicutes
Otu00380	42	Bacteroidetes
Otu00381	41	Firmicutes
Otu00382	41	unclassified
Otu00383	41	unclassified
Otu00384	41	Bacteroidetes
Otu00385	41	Firmicutes
Otu00386	41	Firmicutes
Otu00387	41	Proteobacteria
Otu00388	40	Firmicutes
Otu00389	40	Firmicutes
Otu00390	39	Fusobacteria
Otu00391	39	unclassified
Otu00392	39	Firmicutes
Otu00393	39	Firmicutes
Otu00394	38	Firmicutes
Otu00395	38	unclassified
Otu00396	38	Firmicutes
Otu00397	38	Firmicutes
Otu00398	38	Firmicutes
Otu00399	38	Firmicutes
Otu00400	37	Firmicutes
Otu00401	37	Firmicutes
Otu00402	37	Firmicutes
Otu00403	36	Firmicutes
Otu00404	36	Firmicutes
Otu00405	36	unclassified
Otu00406	35	Bacteroidetes
Otu00407	35	unclassified
Otu00408	35	Firmicutes
Otu00409	35	Firmicutes
Otu00410	35	Firmicutes
Otu00411	35	Firmicutes
