SampleIDs	Bacteroidetes	Firmicutes	Actinobacteria	unclassified	Proteobacteria	Verrucomicrobia	Synergistetes	Fusobacteria	Lentisphaerae	TM7	Spirochaetes
TS1	31.92771084337349	62.048192771084345	0.25817555938037867	5.421686746987952	0.25817555938037867	0.08605851979345956	0.0	0.0	0.0	0.0	0.0
TS1.2	28.74354561101549	66.09294320137694	0.34423407917383825	4.130808950086059	0.5163511187607573	0.17211703958691912	0.0	0.0	0.0	0.0	0.0
TS10	26.161790017211707	71.6867469879518	1.1187607573149743	0.6884681583476765	0.34423407917383825	0.0	0.0	0.0	0.0	0.0	0.0
TS100	34.59552495697074	61.96213425129088	0.17211703958691912	2.323580034423408	0.8605851979345954	0.08605851979345956	0.0	0.0	0.0	0.0	0.0
TS100.2	5.679862306368331	91.99655765920826	1.0327022375215147	0.6884681583476765	0.6024096385542169	0.0	0.0	0.0	0.0	0.0	0.0
TS101.2	2.8399311531841653	96.47160068846816	0.34423407917383825	0.17211703958691912	0.17211703958691912	0.0	0.0	0.0	0.0	0.0	0.0
TS103	18.072289156626507	75.38726333907057	0.4302925989672977	0.4302925989672977	5.679862306368331	0.0	0.0	0.0	0.0	0.0	0.0
TS103.2	34.59552495697074	59.810671256454384	0.34423407917383825	0.34423407917383825	4.905335628227195	0.0	0.0	0.0	0.0	0.0	0.0
TS104	41.480206540447504	56.88468158347676	0.25817555938037867	0.9466437177280551	0.4302925989672977	0.0	0.0	0.0	0.0	0.0	0.0
TS104.2	38.98450946643718	59.72461273666093	0.08605851979345956	1.0327022375215147	0.17211703958691912	0.0	0.0	0.0	0.0	0.0	0.0
TS105	7.056798623063683	92.3407917383821	0.25817555938037867	0.34423407917383825	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TS105.2	59.63855421686747	40.103270223752155	0.0	0.25817555938037867	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TS106	21.772805507745264	76.85025817555939	0.6884681583476765	0.34423407917383825	0.34423407917383825	0.0	0.0	0.0	0.0	0.0	0.0
TS106.2	33.3907056798623	63.25301204819277	2.0654044750430294	0.0	1.2908777969018932	0.0	0.0	0.0	0.0	0.0	0.0
TS107	37.09122203098107	56.024096385542165	4.991394148020654	0.4302925989672977	1.4629948364888123	0.0	0.0	0.0	0.0	0.0	0.0
TS107.2	6.196213425129088	86.14457831325302	7.056798623063683	0.5163511187607573	0.08605851979345956	0.0	0.0	0.0	0.0	0.0	0.0
TS109	51.11876075731497	48.45094664371773	0.0	0.08605851979345956	0.34423407917383825	0.0	0.0	0.0	0.0	0.0	0.0
TS109.2	40.61962134251291	55.24956970740104	0.17211703958691912	2.8399311531841653	1.0327022375215147	0.08605851979345956	0.0	0.0	0.0	0.0	0.0
TS11	42.25473321858864	56.024096385542165	0.6024096385542169	0.17211703958691912	0.9466437177280551	0.0	0.0	0.0	0.0	0.0	0.0
