OTU,Taxonomy
Otu000400,Firmicutes
Otu000401,Bacteroidetes
Otu000402,Bacteroidetes
Otu000403,Bacteroidetes
Otu000404,Firmicutes
Otu000405,Firmicutes
Otu000406,Firmicutes
Otu000407,Firmicutes
Otu000408,Firmicutes
Otu000409,Firmicutes
Otu000410,Firmicutes
Otu000411,Firmicutes
Otu000412,Bacteroidetes
Otu000413,Firmicutes
Otu000414,Firmicutes
Otu000415,Firmicutes
Otu000416,Bacteroidetes
Otu000417,Bacteroidetes
Otu000418,Firmicutes
Otu000419,Firmicutes
Otu000420,Firmicutes
Otu000421,Bacteroidetes
Otu000422,Bacteroidetes
Otu000423,Firmicutes
Otu000424,Firmicutes
Otu000425,Firmicutes
Otu000426,Firmicutes
Otu000427,Firmicutes
Otu000428,Firmicutes
Otu000429,Firmicutes
Otu000430,Bacteroidetes
Otu000431,Firmicutes
Otu000432,Bacteroidetes
Otu000433,Firmicutes
Otu000434,Firmicutes
Otu000435,Firmicutes
Otu000436,Firmicutes
Otu000437,Firmicutes
Otu000438,Firmicutes
Otu000439,Firmicutes
Otu000440,Firmicutes
Otu000441,Firmicutes
Otu000442,Firmicutes
Otu000443,Firmicutes
Otu000444,Actinobacteria
Otu000445,Actinobacteria
Otu000446,Firmicutes
Otu000447,Firmicutes
Otu000448,unclassified
Otu000449,Bacteroidetes
Otu000450,Firmicutes
Otu000451,Firmicutes
Otu000452,Firmicutes
Otu000453,Firmicutes
Otu000454,Firmicutes
Otu000455,Bacteroidetes
Otu000456,Firmicutes
Otu000457,Firmicutes
Otu000458,Firmicutes
Otu000459,Firmicutes
Otu000460,Firmicutes
Otu000461,Firmicutes
Otu000462,Firmicutes
Otu000463,Firmicutes
Otu000464,Firmicutes
Otu000465,Firmicutes
Otu000466,Bacteroidetes
Otu000467,Bacteroidetes
Otu000468,Bacteroidetes
Otu000469,Firmicutes
Otu000470,Proteobacteria
Otu000471,Firmicutes
Otu000472,Firmicutes
Otu000473,Firmicutes
Otu000474,Firmicutes
Otu000475,Firmicutes
Otu000476,Firmicutes
Otu000477,Actinobacteria
Otu000478,Firmicutes
Otu000479,Firmicutes
Otu000480,Firmicutes
Otu000481,Firmicutes
Otu000482,Firmicutes
Otu000483,Firmicutes
Otu000484,Firmicutes
Otu000485,Firmicutes
Otu000486,Firmicutes
Otu000487,Firmicutes
Otu000488,Firmicutes
Otu000489,Firmicutes
Otu000490,Bacteroidetes
Otu000491,Firmicutes
Otu000492,Firmicutes
Otu000493,Firmicutes
Otu000494,Firmicutes
Otu000495,Firmicutes
Otu000496,Bacteroidetes
Otu000497,Bacteroidetes
Otu000498,Firmicutes
Otu000499,Firmicutes
Otu000500,Firmicutes
Otu000501,unclassified
Otu000502,Actinobacteria
Otu000503,Firmicutes
Otu000504,Firmicutes
Otu000505,Firmicutes
Otu000506,Firmicutes
Otu000507,Firmicutes
Otu000508,Firmicutes
Otu000509,Actinobacteria
Otu000510,Firmicutes
Otu000511,Firmicutes
Otu000512,Firmicutes
Otu000513,Firmicutes
Otu000514,Firmicutes
Otu000515,Firmicutes
Otu000516,unclassified
Otu000517,Bacteroidetes
Otu000518,Firmicutes
Otu000519,Firmicutes
Otu000520,Firmicutes
Otu000521,Firmicutes
Otu000522,Firmicutes
Otu000523,Firmicutes
Otu000524,Firmicutes
Otu000525,Bacteroidetes
Otu000526,Firmicutes
Otu000527,Firmicutes
Otu000528,Firmicutes
Otu000529,Firmicutes
Otu000530,Firmicutes
Otu000531,Firmicutes
Otu000532,Firmicutes
Otu000533,Bacteroidetes
Otu000534,Bacteroidetes
Otu000535,Firmicutes
Otu000536,Firmicutes
Otu000537,Firmicutes
Otu000538,Firmicutes
Otu000539,Firmicutes
Otu000540,Firmicutes
Otu000541,Firmicutes
Otu000542,Firmicutes
Otu000543,Firmicutes
Otu000544,Firmicutes
Otu000545,Firmicutes
Otu000546,unclassified
Otu000547,Firmicutes
Otu000548,Firmicutes
Otu000549,Firmicutes
Otu000550,Firmicutes
Otu000551,Firmicutes
Otu000552,Firmicutes
Otu000553,Firmicutes
Otu000554,Bacteroidetes
Otu000555,Firmicutes
Otu000556,Firmicutes
Otu000557,Firmicutes
Otu000558,Firmicutes
Otu000559,Firmicutes
Otu000560,Firmicutes
Otu000561,Firmicutes
Otu000562,Firmicutes
Otu000563,Firmicutes
Otu000564,Firmicutes
Otu000565,Firmicutes
Otu000566,Firmicutes
Otu000567,unclassified
Otu000568,unclassified
Otu000569,Firmicutes
Otu000570,Firmicutes
Otu000571,Firmicutes
Otu000572,Bacteroidetes
Otu000573,Bacteroidetes
Otu000574,unclassified
Otu000575,Firmicutes
Otu000576,Firmicutes
Otu000577,Firmicutes
Otu000578,Firmicutes
Otu000579,Firmicutes
Otu000580,Firmicutes
Otu000581,Firmicutes
Otu000582,Proteobacteria
Otu000583,Firmicutes
Otu000584,Firmicutes
Otu000585,Firmicutes
Otu000586,Firmicutes
Otu000587,Firmicutes
Otu000588,Firmicutes
Otu000589,unclassified
Otu000590,Actinobacteria
Otu000591,Proteobacteria
Otu000592,Bacteroidetes
Otu000593,Firmicutes
Otu000594,Firmicutes
Otu000595,Firmicutes
Otu000596,Firmicutes
Otu000597,Actinobacteria
Otu000598,Bacteroidetes
Otu000599,Firmicutes
Otu000600,Firmicutes
Otu000601,Firmicutes
Otu000602,Firmicutes
Otu000603,Firmicutes
Otu000604,unclassified
Otu000605,Firmicutes
Otu000606,Firmicutes
Otu000607,Firmicutes
Otu000608,Firmicutes
Otu000609,Firmicutes
Otu000610,Firmicutes
Otu000611,Firmicutes
Otu000612,Firmicutes
Otu000613,Bacteroidetes
Otu000614,Firmicutes
Otu000615,Firmicutes
Otu000616,Firmicutes
Otu000617,Firmicutes
Otu000618,Firmicutes
Otu000619,Bacteroidetes
Otu000620,Firmicutes
Otu000621,Bacteroidetes
Otu000622,Firmicutes
Otu000623,Firmicutes
Otu000624,Firmicutes
Otu000625,Firmicutes
Otu000626,Firmicutes
Otu000627,Firmicutes
Otu000628,Firmicutes
Otu000629,Firmicutes
Otu000630,unclassified
Otu000631,Firmicutes
Otu000632,unclassified
Otu000633,Firmicutes
Otu000634,Firmicutes
Otu000635,Firmicutes
Otu000636,Firmicutes
Otu000637,Firmicutes
Otu000638,Firmicutes
Otu000639,Firmicutes
Otu000640,Firmicutes
Otu000641,Firmicutes
Otu000642,Firmicutes
Otu000643,Firmicutes
Otu000644,Firmicutes
Otu000645,Firmicutes
Otu000646,unclassified
Otu000647,Firmicutes
Otu000648,Firmicutes
Otu000649,Firmicutes
Otu000650,Firmicutes
Otu000651,Firmicutes
Otu000652,Bacteroidetes
Otu000653,Firmicutes
Otu000654,Firmicutes
Otu000655,Bacteroidetes
Otu000656,Firmicutes
Otu000657,Firmicutes
Otu000658,Firmicutes
Otu000659,Firmicutes
Otu000660,Firmicutes
Otu000661,Actinobacteria
Otu000662,Firmicutes
Otu000663,Firmicutes
Otu000664,Firmicutes
Otu000665,Firmicutes
Otu000666,Firmicutes
Otu000667,Firmicutes
Otu000668,Firmicutes
Otu000669,Firmicutes
Otu000670,Firmicutes
Otu000671,Firmicutes
Otu000672,Firmicutes
Otu000673,Firmicutes
Otu000674,Firmicutes
Otu000675,Firmicutes
Otu000676,Bacteroidetes
Otu000677,Bacteroidetes
Otu000678,Firmicutes
Otu000679,Firmicutes
Otu000680,Firmicutes
Otu000681,Firmicutes
Otu000682,Firmicutes
Otu000683,Firmicutes
Otu000684,Bacteroidetes
Otu000685,Firmicutes
Otu000686,Firmicutes
Otu000687,Firmicutes
Otu000688,Firmicutes
Otu000689,Firmicutes
Otu000690,Firmicutes
Otu000691,Firmicutes
Otu000692,Firmicutes
Otu000693,Firmicutes
Otu000694,Firmicutes
Otu000695,Firmicutes
Otu000696,Firmicutes
Otu000697,Firmicutes
Otu000698,Firmicutes
Otu000699,Firmicutes
Otu000700,Firmicutes
Otu000701,Bacteroidetes
Otu000702,Firmicutes
Otu000703,Firmicutes
Otu000704,Firmicutes
Otu000705,Firmicutes
Otu000706,Firmicutes
Otu000707,Firmicutes
Otu000708,Firmicutes
Otu000709,Firmicutes
Otu000710,Bacteroidetes
Otu000711,unclassified
Otu000712,unclassified
Otu000713,Bacteroidetes
Otu000714,Firmicutes
Otu000715,Firmicutes
Otu000716,Firmicutes
Otu000717,Firmicutes
Otu000718,Firmicutes
Otu000719,Firmicutes
Otu000720,Firmicutes
Otu000721,Bacteroidetes
Otu000722,Bacteroidetes
Otu000723,Firmicutes
Otu000724,Bacteroidetes
Otu000725,Bacteroidetes
Otu000726,Firmicutes
Otu000727,Firmicutes
Otu000728,Firmicutes
Otu000729,Firmicutes
Otu000730,Firmicutes
Otu000731,Firmicutes
Otu000732,Bacteroidetes
Otu000733,Bacteroidetes
Otu000734,Firmicutes
Otu000735,Bacteroidetes
Otu000736,Firmicutes
Otu000737,Firmicutes
Otu000738,Firmicutes
Otu000739,Firmicutes
Otu000740,Firmicutes
Otu000741,Firmicutes
Otu000742,Firmicutes
Otu000743,Firmicutes
Otu000744,Firmicutes
Otu000745,Firmicutes
Otu000746,Firmicutes
Otu000747,Firmicutes
Otu000748,Firmicutes
Otu000749,Firmicutes
Otu000750,Bacteroidetes
Otu000751,Firmicutes
Otu000752,Firmicutes
Otu000753,Firmicutes
Otu000754,Firmicutes
Otu000755,Firmicutes
Otu000756,Firmicutes
Otu000757,Firmicutes
Otu000758,Firmicutes
Otu000759,Bacteroidetes
Otu000760,Bacteroidetes
Otu000761,Firmicutes
Otu000762,Firmicutes
Otu000763,Firmicutes
Otu000764,Firmicutes
Otu000765,Firmicutes
Otu000766,Firmicutes
Otu000767,Firmicutes
Otu000768,Firmicutes
Otu000769,Firmicutes
Otu000770,Firmicutes
Otu000771,Firmicutes
Otu000772,Firmicutes
Otu000773,Firmicutes
Otu000774,Firmicutes
Otu000775,Bacteroidetes
Otu000776,Bacteroidetes
Otu000777,unclassified
Otu000778,Firmicutes
Otu000779,Firmicutes
Otu000780,Bacteroidetes
Otu000781,Bacteroidetes
Otu000782,Firmicutes
Otu000783,Firmicutes
Otu000784,Firmicutes
Otu000785,Firmicutes
Otu000786,Firmicutes
Otu000787,Firmicutes
Otu000788,Firmicutes
Otu000789,Firmicutes
Otu000790,Firmicutes
Otu000791,Firmicutes
Otu000792,Firmicutes
Otu000793,Firmicutes
Otu000794,Firmicutes
Otu000795,Firmicutes
Otu000796,Bacteroidetes
Otu000797,Firmicutes
Otu000798,Firmicutes
Otu000799,Firmicutes
Otu000800,Firmicutes
Otu000801,Firmicutes
Otu000802,Firmicutes
Otu000803,Actinobacteria
Otu000804,unclassified
Otu000805,Firmicutes
Otu000806,Firmicutes
Otu000807,Firmicutes
Otu000808,Firmicutes
Otu000809,Firmicutes
Otu000810,Firmicutes
Otu000811,Firmicutes
Otu000812,Firmicutes
Otu000813,Firmicutes
Otu000814,Firmicutes
Otu000815,Firmicutes
Otu000816,Firmicutes
Otu000817,Firmicutes
Otu000818,Firmicutes
Otu000819,Firmicutes
Otu000820,Firmicutes
Otu000821,Firmicutes
Otu000822,Firmicutes
Otu000823,Firmicutes
Otu000824,Firmicutes
Otu000825,Firmicutes
Otu000826,Firmicutes
Otu000827,Firmicutes
Otu000828,Bacteroidetes
Otu000829,Firmicutes
Otu000830,Bacteroidetes
Otu000831,Firmicutes
Otu000832,Firmicutes
Otu000833,Firmicutes
Otu000834,Firmicutes
Otu000835,Firmicutes
Otu000836,Firmicutes
Otu000837,Firmicutes
Otu000838,Firmicutes
Otu000839,Firmicutes
Otu000840,Firmicutes
Otu000841,Firmicutes
Otu000842,Firmicutes
Otu000843,Firmicutes
Otu000844,Firmicutes
Otu000845,Firmicutes
Otu000846,Firmicutes
Otu000847,Firmicutes
Otu000848,Firmicutes
Otu000849,Firmicutes
Otu000850,Firmicutes
Otu000851,Synergistetes
Otu000852,Bacteroidetes
Otu000853,Firmicutes
Otu000854,Firmicutes
Otu000855,Firmicutes
Otu000856,Firmicutes
Otu000857,Firmicutes
Otu000858,Firmicutes
Otu000859,Firmicutes
Otu000860,Firmicutes
Otu000861,Firmicutes
Otu000862,Firmicutes
Otu000863,Firmicutes
Otu000864,Firmicutes
Otu000865,Firmicutes
Otu000866,Firmicutes
Otu000867,Firmicutes
Otu000868,Firmicutes
Otu000869,Firmicutes
Otu000870,Firmicutes
Otu000871,Firmicutes
Otu000872,Firmicutes
Otu000873,Firmicutes
Otu000874,Firmicutes
Otu000875,Firmicutes
Otu000876,Firmicutes
Otu000877,Firmicutes
Otu000878,Firmicutes
Otu000879,Firmicutes
Otu000880,Firmicutes
Otu000881,Firmicutes
Otu000882,Firmicutes
Otu000883,Firmicutes
Otu000884,Firmicutes
Otu000885,Firmicutes
Otu000886,Firmicutes
Otu000887,Firmicutes
Otu000888,Firmicutes
Otu000889,Firmicutes
Otu000890,Firmicutes
Otu000891,Firmicutes
Otu000892,Firmicutes
Otu000893,Firmicutes
Otu000894,Bacteroidetes
Otu000895,Bacteroidetes
Otu000896,Firmicutes
Otu000897,Firmicutes
Otu000898,Actinobacteria
Otu000899,Firmicutes
Otu000900,Firmicutes
Otu000901,Firmicutes
Otu000902,Firmicutes
Otu000903,Firmicutes
Otu000904,Firmicutes
Otu000905,Firmicutes
Otu000906,Firmicutes
Otu000907,Firmicutes
Otu000908,Firmicutes
Otu000909,Firmicutes
Otu000910,Bacteroidetes
Otu000911,Firmicutes
Otu000912,Firmicutes
Otu000913,Firmicutes
Otu000914,Firmicutes
Otu000915,Firmicutes
Otu000916,Firmicutes
Otu000917,Firmicutes
Otu000918,Firmicutes
Otu000919,Firmicutes
Otu000920,Firmicutes
Otu000921,unclassified
Otu000922,Bacteroidetes
Otu000923,Bacteroidetes
Otu000924,Firmicutes
Otu000925,Firmicutes
Otu000926,Firmicutes
Otu000927,Firmicutes
Otu000928,Firmicutes
Otu000929,Bacteroidetes
Otu000930,Firmicutes
Otu000931,Firmicutes
Otu000932,Firmicutes
Otu000933,Firmicutes
Otu000934,Firmicutes
Otu000935,unclassified
Otu000936,Firmicutes
Otu000937,Firmicutes
Otu000938,Firmicutes
Otu000939,Firmicutes
Otu000940,Firmicutes
Otu000941,Firmicutes
Otu000942,Firmicutes
Otu000943,Firmicutes
Otu000944,Firmicutes
Otu000945,Firmicutes
Otu000946,Firmicutes
Otu000947,unclassified
Otu000948,unclassified
Otu000949,unclassified
Otu000950,unclassified
Otu000951,unclassified
Otu000952,Firmicutes
Otu000953,Firmicutes
Otu000954,Firmicutes
Otu000955,Firmicutes
Otu000956,Firmicutes
Otu000957,Firmicutes
Otu000958,unclassified
Otu000959,Bacteroidetes
Otu000960,Bacteroidetes
Otu000961,Firmicutes
Otu000962,Firmicutes
Otu000963,Firmicutes
Otu000964,Firmicutes
Otu000965,Firmicutes
Otu000966,Firmicutes
Otu000967,Firmicutes
Otu000968,Firmicutes
Otu000969,Firmicutes
Otu000970,Firmicutes
Otu000971,Firmicutes
Otu000972,Firmicutes
Otu000973,Firmicutes
Otu000974,Firmicutes
Otu000975,Firmicutes
Otu000976,Firmicutes
Otu000977,Firmicutes
Otu000978,Firmicutes
Otu000979,Firmicutes
Otu000980,Firmicutes
Otu000981,Bacteroidetes
Otu000982,Bacteroidetes
Otu000983,Firmicutes
Otu000984,Firmicutes
Otu000985,Firmicutes
Otu000986,Firmicutes
Otu000987,Bacteroidetes
Otu000988,Firmicutes
Otu000989,Firmicutes
Otu000990,Firmicutes
Otu000991,Firmicutes
Otu000992,Firmicutes
Otu000993,Firmicutes
Otu000994,Firmicutes
Otu000995,Firmicutes
Otu000996,unclassified
Otu000997,Firmicutes
Otu000998,Firmicutes
Otu000999,Firmicutes
Otu001000,Firmicutes
Otu001001,Fusobacteria
Otu001002,Firmicutes
Otu001003,Firmicutes
Otu001004,Firmicutes
Otu001005,Firmicutes
Otu001006,Firmicutes
Otu001007,Firmicutes
Otu001008,Firmicutes
Otu001009,Firmicutes
Otu001010,Bacteroidetes
Otu001011,Firmicutes
Otu001012,Bacteroidetes
Otu001013,Firmicutes
Otu001014,Firmicutes
Otu001015,Bacteroidetes
Otu001016,Firmicutes
Otu001017,Firmicutes
Otu001018,Firmicutes
Otu001019,Firmicutes
Otu001020,Firmicutes
Otu001021,unclassified
Otu001022,Firmicutes
Otu001023,Firmicutes
Otu001024,Firmicutes
Otu001025,Firmicutes
Otu001026,Firmicutes
Otu001027,Firmicutes
Otu001028,Firmicutes
Otu001029,Firmicutes
Otu001030,Firmicutes
Otu001031,Firmicutes
Otu001032,Firmicutes
Otu001033,Firmicutes
Otu001034,Firmicutes
Otu001035,Firmicutes
Otu001036,Firmicutes
Otu001037,unclassified
Otu001038,Actinobacteria
Otu001039,Firmicutes
Otu001040,Firmicutes
Otu001041,Firmicutes
Otu001042,Firmicutes
Otu001043,Firmicutes
Otu001044,Bacteroidetes
Otu001045,Bacteroidetes
Otu001046,Bacteroidetes
Otu001047,unclassified
Otu001048,unclassified
Otu001049,unclassified
Otu001050,Firmicutes
Otu001051,Firmicutes
Otu001052,Firmicutes
Otu001053,Firmicutes
Otu001054,Firmicutes
Otu001055,Firmicutes
Otu001056,Firmicutes
Otu001057,Firmicutes
Otu001058,Firmicutes
