OTU,Taxonomy
Otu000001,Bacteroidetes
Otu000002,Bacteroidetes
Otu000003,Bacteroidetes
Otu000004,Firmicutes
Otu000005,Bacteroidetes
Otu000006,Firmicutes
Otu000007,Firmicutes
Otu000008,Firmicutes
Otu000009,Firmicutes
Otu000010,Firmicutes
Otu000011,Firmicutes
Otu000012,Bacteroidetes
Otu000013,Firmicutes
Otu000014,Firmicutes
Otu000015,Firmicutes
Otu000016,Firmicutes
Otu000017,Bacteroidetes
Otu000018,Bacteroidetes
Otu000019,Actinobacteria
Otu000020,Bacteroidetes
Otu000021,Firmicutes
Otu000022,Firmicutes
Otu000023,Firmicutes
Otu000024,Firmicutes
Otu000025,Bacteroidetes
Otu000026,Firmicutes
Otu000027,Bacteroidetes
Otu000028,Firmicutes
Otu000029,Bacteroidetes
Otu000030,Firmicutes
Otu000031,Firmicutes
Otu000032,Firmicutes
Otu000033,Firmicutes
Otu000034,Firmicutes
Otu000035,Bacteroidetes
Otu000036,Firmicutes
Otu000037,Firmicutes
Otu000038,unclassified
Otu000039,Bacteroidetes
Otu000040,Firmicutes
Otu000041,Firmicutes
Otu000042,Bacteroidetes
Otu000043,Firmicutes
Otu000044,Firmicutes
Otu000045,Proteobacteria
Otu000046,Bacteroidetes
Otu000047,Firmicutes
Otu000048,Firmicutes
Otu000049,Firmicutes
Otu000050,Firmicutes
Otu000051,Firmicutes
Otu000052,Firmicutes
Otu000053,Firmicutes
Otu000054,Bacteroidetes
Otu000055,Firmicutes
Otu000056,Firmicutes
Otu000057,Firmicutes
Otu000058,Actinobacteria
Otu000059,Firmicutes
Otu000060,Firmicutes
Otu000061,Firmicutes
Otu000062,Firmicutes
Otu000063,Firmicutes
Otu000064,unclassified
Otu000065,Firmicutes
Otu000066,Firmicutes
Otu000067,Firmicutes
Otu000068,Bacteroidetes
Otu000069,Bacteroidetes
Otu000070,Proteobacteria
Otu000071,Firmicutes
Otu000072,Firmicutes
Otu000073,Firmicutes
Otu000074,Actinobacteria
Otu000075,Firmicutes
Otu000076,Firmicutes
Otu000077,Firmicutes
Otu000078,Firmicutes
Otu000079,Firmicutes
Otu000080,Bacteroidetes
Otu000081,Bacteroidetes
Otu000082,Firmicutes
Otu000083,Bacteroidetes
Otu000084,Firmicutes
Otu000085,Firmicutes
Otu000086,Bacteroidetes
Otu000087,Firmicutes
Otu000088,Firmicutes
Otu000089,Firmicutes
Otu000090,Firmicutes
Otu000091,Bacteroidetes
Otu000092,Firmicutes
Otu000093,Bacteroidetes
Otu000094,Bacteroidetes
Otu000095,Firmicutes
Otu000096,Bacteroidetes
Otu000097,Firmicutes
Otu000098,Firmicutes
Otu000099,Firmicutes
Otu000100,Firmicutes
Otu000101,Firmicutes
Otu000102,Firmicutes
Otu000103,Firmicutes
Otu000104,Firmicutes
Otu000105,Firmicutes
Otu000106,Firmicutes
Otu000107,Firmicutes
Otu000108,Firmicutes
Otu000109,unclassified
Otu000110,Firmicutes
Otu000111,Firmicutes
Otu000112,Firmicutes
Otu000113,Firmicutes
Otu000114,Firmicutes
Otu000115,Firmicutes
Otu000116,Proteobacteria
Otu000117,Firmicutes
Otu000118,Bacteroidetes
Otu000119,Firmicutes
Otu000120,Proteobacteria
Otu000121,Firmicutes
Otu000122,Bacteroidetes
Otu000123,Firmicutes
Otu000124,Bacteroidetes
Otu000125,Bacteroidetes
Otu000126,Firmicutes
Otu000127,Firmicutes
Otu000128,Firmicutes
Otu000129,Firmicutes
Otu000130,Firmicutes
Otu000131,Firmicutes
Otu000132,Firmicutes
Otu000133,Firmicutes
Otu000134,Firmicutes
Otu000135,Firmicutes
Otu000136,Bacteroidetes
Otu000137,Firmicutes
Otu000138,Firmicutes
Otu000139,Firmicutes
Otu000140,Verrucomicrobia
Otu000141,Firmicutes
Otu000142,Firmicutes
Otu000143,Firmicutes
Otu000144,Firmicutes
Otu000145,Bacteroidetes
Otu000146,unclassified
Otu000147,Firmicutes
Otu000148,Bacteroidetes
Otu000149,Firmicutes
Otu000150,Bacteroidetes
Otu000151,Firmicutes
Otu000152,Actinobacteria
Otu000153,Firmicutes
Otu000154,Firmicutes
Otu000155,Firmicutes
Otu000156,Firmicutes
Otu000157,Firmicutes
Otu000158,Bacteroidetes
Otu000159,Firmicutes
Otu000160,Firmicutes
Otu000161,Firmicutes
Otu000162,Firmicutes
Otu000163,Bacteroidetes
Otu000164,Firmicutes
Otu000165,Firmicutes
Otu000166,Firmicutes
Otu000167,Bacteroidetes
Otu000168,Firmicutes
Otu000169,Bacteroidetes
Otu000170,Firmicutes
Otu000171,Firmicutes
Otu000172,Firmicutes
Otu000173,Firmicutes
Otu000174,Firmicutes
Otu000175,Firmicutes
Otu000176,Firmicutes
Otu000177,Bacteroidetes
Otu000178,Firmicutes
Otu000179,unclassified
Otu000180,unclassified
Otu000181,Firmicutes
Otu000182,Firmicutes
Otu000183,Firmicutes
Otu000184,Firmicutes
Otu000185,Firmicutes
Otu000186,Bacteroidetes
Otu000187,Firmicutes
Otu000188,Firmicutes
Otu000189,Firmicutes
Otu000190,Firmicutes
Otu000191,Firmicutes
Otu000192,Firmicutes
Otu000193,Firmicutes
Otu000194,unclassified
Otu000195,Bacteroidetes
Otu000196,unclassified
Otu000197,Firmicutes
Otu000198,Firmicutes
Otu000199,Firmicutes
Otu000200,Firmicutes
Otu000201,unclassified
Otu000202,Bacteroidetes
Otu000203,Firmicutes
Otu000204,Firmicutes
Otu000205,Firmicutes
Otu000206,Bacteroidetes
Otu000207,Firmicutes
Otu000208,Firmicutes
Otu000209,Firmicutes
Otu000210,Firmicutes
Otu000211,Bacteroidetes
Otu000212,Firmicutes
Otu000213,Firmicutes
Otu000214,Firmicutes
Otu000215,Firmicutes
Otu000216,Proteobacteria
Otu000217,Firmicutes
Otu000218,Firmicutes
Otu000219,unclassified
Otu000220,Firmicutes
Otu000221,Firmicutes
Otu000222,Actinobacteria
Otu000223,Firmicutes
Otu000224,Firmicutes
Otu000225,Firmicutes
Otu000226,Firmicutes
Otu000227,unclassified
Otu000228,Firmicutes
Otu000229,Firmicutes
Otu000230,Firmicutes
Otu000231,Actinobacteria
Otu000232,Bacteroidetes
Otu000233,Bacteroidetes
Otu000234,Firmicutes
Otu000235,Firmicutes
Otu000236,Firmicutes
Otu000237,Firmicutes
Otu000238,unclassified
Otu000239,Firmicutes
Otu000240,Firmicutes
Otu000241,Bacteroidetes
Otu000242,Firmicutes
Otu000243,Firmicutes
Otu000244,Firmicutes
Otu000245,Proteobacteria
Otu000246,Firmicutes
Otu000247,Firmicutes
Otu000248,Firmicutes
Otu000249,Firmicutes
Otu000250,Firmicutes
Otu000251,Bacteroidetes
Otu000252,Firmicutes
Otu000253,Firmicutes
Otu000254,Firmicutes
Otu000255,Firmicutes
Otu000256,Firmicutes
Otu000257,unclassified
Otu000258,Firmicutes
Otu000259,Firmicutes
Otu000260,Firmicutes
Otu000261,Firmicutes
Otu000262,Firmicutes
Otu000263,unclassified
Otu000264,Firmicutes
Otu000265,Actinobacteria
Otu000266,Bacteroidetes
Otu000267,Firmicutes
Otu000268,Firmicutes
Otu000269,Firmicutes
Otu000270,Firmicutes
Otu000271,Firmicutes
Otu000272,Firmicutes
Otu000273,Firmicutes
Otu000274,Firmicutes
Otu000275,Firmicutes
Otu000276,Firmicutes
Otu000277,Firmicutes
Otu000278,Bacteroidetes
Otu000279,Firmicutes
Otu000280,unclassified
Otu000281,Bacteroidetes
Otu000282,Firmicutes
Otu000283,Firmicutes
Otu000284,Bacteroidetes
Otu000285,Firmicutes
Otu000286,Firmicutes
Otu000287,Firmicutes
Otu000288,Firmicutes
Otu000289,Firmicutes
Otu000290,Firmicutes
Otu000291,Bacteroidetes
Otu000292,unclassified
Otu000293,Firmicutes
Otu000294,Verrucomicrobia
Otu000295,Firmicutes
Otu000296,Firmicutes
Otu000297,Firmicutes
Otu000298,Firmicutes
Otu000299,Firmicutes
Otu000300,Actinobacteria
Otu000301,Firmicutes
Otu000302,Firmicutes
Otu000303,Firmicutes
Otu000304,Bacteroidetes
Otu000305,Firmicutes
Otu000306,Firmicutes
Otu000307,Firmicutes
Otu000308,Firmicutes
Otu000309,Firmicutes
Otu000310,Firmicutes
Otu000311,Firmicutes
Otu000312,Firmicutes
Otu000313,Firmicutes
Otu000314,Firmicutes
Otu000315,Firmicutes
Otu000316,Firmicutes
Otu000317,unclassified
Otu000318,Firmicutes
Otu000319,Firmicutes
Otu000320,Bacteroidetes
Otu000321,Firmicutes
Otu000322,Firmicutes
Otu000323,Firmicutes
Otu000324,Bacteroidetes
Otu000325,Bacteroidetes
Otu000326,Firmicutes
Otu000327,Firmicutes
Otu000328,Bacteroidetes
Otu000329,Firmicutes
Otu000330,Firmicutes
Otu000331,Firmicutes
Otu000332,Firmicutes
Otu000333,Firmicutes
Otu000334,Firmicutes
Otu000335,unclassified
Otu000336,Firmicutes
Otu000337,Firmicutes
Otu000338,Firmicutes
Otu000339,Verrucomicrobia
Otu000340,Firmicutes
Otu000341,Firmicutes
Otu000342,Firmicutes
Otu000343,Firmicutes
Otu000344,Bacteroidetes
Otu000345,Firmicutes
Otu000346,Firmicutes
Otu000347,Firmicutes
Otu000348,Firmicutes
Otu000349,Firmicutes
Otu000350,Firmicutes
Otu000351,Firmicutes
Otu000352,Firmicutes
Otu000353,Firmicutes
Otu000354,unclassified
Otu000355,Firmicutes
Otu000356,Bacteroidetes
Otu000357,Firmicutes
Otu000358,Firmicutes
Otu000359,Firmicutes
Otu000360,Firmicutes
Otu000361,Firmicutes
Otu000362,Firmicutes
Otu000363,Firmicutes
Otu000364,Bacteroidetes
Otu000365,Firmicutes
Otu000366,Bacteroidetes
Otu000367,Firmicutes
Otu000368,Bacteroidetes
Otu000369,Firmicutes
Otu000370,Firmicutes
Otu000371,Firmicutes
Otu000372,Firmicutes
Otu000373,Firmicutes
Otu000374,Firmicutes
Otu000375,Firmicutes
Otu000376,Bacteroidetes
Otu000377,Firmicutes
Otu000378,Firmicutes
Otu000379,unclassified
Otu000380,Firmicutes
Otu000381,Firmicutes
Otu000382,Firmicutes
Otu000383,Firmicutes
Otu000384,Firmicutes
Otu000385,Firmicutes
Otu000386,Bacteroidetes
Otu000387,Firmicutes
Otu000388,Proteobacteria
Otu000389,unclassified
Otu000390,Bacteroidetes
Otu000391,Firmicutes
Otu000392,Firmicutes
Otu000393,Firmicutes
Otu000394,Firmicutes
Otu000395,Firmicutes
Otu000396,Firmicutes
Otu000397,Firmicutes
Otu000398,Firmicutes
Otu000399,Firmicutes
