OTU	Size	Taxonomy
Otu000001	1368007	Bacteroidetes
Otu000002	1263170	Bacteroidetes
Otu000003	900507	Firmicutes
Otu000004	692303	Verrucomicrobia
Otu000005	677204	Firmicutes
Otu000006	641961	Firmicutes
Otu000007	592866	Firmicutes
Otu000008	548215	unclassified
Otu000009	537105	Proteobacteria
Otu000010	423217	Bacteroidetes
Otu000011	401358	Actinobacteria
Otu000012	383336	Bacteroidetes
Otu000013	353304	Firmicutes
Otu000014	351077	Bacteroidetes
Otu000015	349987	Firmicutes
Otu000016	349150	Firmicutes
Otu000017	332927	Firmicutes
Otu000018	330625	Bacteroidetes
Otu000019	324724	unclassified
Otu000020	324391	Bacteroidetes
Otu000021	296807	Firmicutes
Otu000022	282887	Bacteroidetes
Otu000023	271767	Firmicutes
Otu000024	271052	Firmicutes
Otu000025	256162	Bacteroidetes
Otu000026	239176	Bacteroidetes
Otu000027	221682	Firmicutes
Otu000028	211450	Bacteroidetes
Otu000029	190204	Firmicutes
Otu000030	189221	Firmicutes
Otu000031	188211	Firmicutes
Otu000032	184751	Bacteroidetes
Otu000033	183735	Firmicutes
Otu000034	168167	Firmicutes
Otu000035	167593	Firmicutes
Otu000036	161391	Firmicutes
Otu000037	154240	Firmicutes
Otu000038	146644	Bacteroidetes
Otu000039	137863	Firmicutes
Otu000040	136512	Proteobacteria
Otu000041	132246	Bacteroidetes
Otu000042	131894	Bacteroidetes
Otu000043	130369	Bacteroidetes
Otu000044	126872	Firmicutes
Otu000045	122628	Firmicutes
Otu000046	117063	unclassified
Otu000047	116409	Firmicutes
Otu000048	113436	Bacteroidetes
Otu000049	112838	Firmicutes
Otu000050	112388	unclassified
Otu000051	105895	Firmicutes
Otu000052	103978	Firmicutes
Otu000053	103889	Firmicutes
Otu000054	102997	unclassified
Otu000055	101346	Firmicutes
Otu000056	99533	Firmicutes
Otu000057	90452	Firmicutes
Otu000058	88929	unclassified
Otu000059	81830	Firmicutes
Otu000060	81364	unclassified
Otu000061	79742	Firmicutes
Otu000062	78357	Firmicutes
Otu000063	78193	Firmicutes
Otu000064	77473	Firmicutes
Otu000065	76067	Bacteroidetes
Otu000066	74938	Firmicutes
Otu000067	73256	Firmicutes
Otu000068	72621	Firmicutes
Otu000069	70702	Firmicutes
Otu000070	70404	Firmicutes
Otu000071	68874	Bacteroidetes
Otu000072	66466	Firmicutes
Otu000073	66323	Firmicutes
Otu000074	65733	Firmicutes
Otu000075	62615	Firmicutes
Otu000076	59658	Firmicutes
Otu000077	59404	Proteobacteria
Otu000078	57151	Firmicutes
Otu000079	56918	Firmicutes
Otu000080	56579	Firmicutes
Otu000081	56238	Bacteroidetes
Otu000082	54481	Firmicutes
Otu000083	53955	Bacteroidetes
Otu000084	53528	Firmicutes
Otu000085	52344	Firmicutes
Otu000086	52167	Firmicutes
Otu000087	49263	Firmicutes
Otu000088	48732	Firmicutes
Otu000089	47928	Firmicutes
Otu000090	47519	Firmicutes
Otu000091	47504	Firmicutes
Otu000092	46845	Firmicutes
Otu000093	44546	Firmicutes
Otu000094	44487	Firmicutes
Otu000095	44450	Firmicutes
Otu000096	44414	Firmicutes
Otu000097	43946	Firmicutes
Otu000098	43622	Proteobacteria
Otu000099	43077	Firmicutes
Otu000100	42286	Firmicutes
Otu000101	42018	Firmicutes
Otu000102	42013	Firmicutes
Otu000103	41732	Firmicutes
Otu000104	40837	Bacteroidetes
Otu000105	39655	unclassified
Otu000106	39506	Firmicutes
Otu000107	39388	Firmicutes
Otu000108	38539	Firmicutes
Otu000109	38244	Bacteroidetes
Otu000110	37180	Firmicutes
Otu000111	37078	Bacteroidetes
Otu000112	36267	Firmicutes
