"","bacter","firm","BFratio","H","S","J"
"Baxter",0.050869659183877,0.0560653767635554,0.0504450052388039,0.0730876049640641,0.0539599687004191,0.10202399482551
"Ross",0.0516472449530432,0.0525479761662675,0.0503872057670318,0.0556752511693279,0.051311460131505,0.062906638007907
"Goodrich",0.0522611715377337,0.0595631057983508,0.0507600907353402,0.105185956012406,0.0630014864509354,0.14545454011508
"Escobar",0.0501474669283603,0.0513073396520324,0.0500653959161015,0.0540340061513791,0.0516551028267753,0.0563715125836191
"Zupancic",0.0510647327341784,0.0556527221109355,0.0504404876936407,0.0644527978071771,0.0567587423682396,0.0740771185548476
"HMP",0.0523907711595479,0.0506291072685948,0.0500942981317355,0.0534991304336144,0.0517621796887552,0.0564535066065178
"Wu",0.050613089449735,0.05036219493141,0.0500317113124228,0.0513184375715295,0.050394794225567,0.0529067258897029
"Turnbaugh",0.0513806934253328,0.0566049237270594,0.0507000987592385,0.0796800089628922,0.0594203824817319,0.104094062903992
