"","bacter","firm","BFratio","H","S","J"
"Baxter",0.14042291419597,0.631913984064367,0.0955441403983955,0.993796382417986,0.45908261952706,0.999998641689035
"Ross",0.223982535883424,0.31952182904608,0.0895243537449325,0.603269144541821,0.187835668439839,0.916717287271328
"Goodrich",0.289505479984486,0.821540471140349,0.128751814992721,0.999999486372538,0.918685082066565,0.999999999998559
"Escobar",0.064871651775293,0.187337994256246,0.0565647985505789,0.465521243477249,0.224744873195535,0.652561425581386
"Zupancic",0.161310543371646,0.60168407140126,0.0950728615677435,0.942621296381495,0.678736224763576,0.995254248851223
"HMP",0.303141148849252,0.114874265315552,0.059482166065881,0.415355965138824,0.236348524678055,0.658739673025828
"Wu",0.113180542907298,0.0869284526539734,0.0531771572470731,0.188587017553072,0.0903129763829984,0.356421837936105
"Turnbaugh",0.19530447524505,0.668763770836841,0.122383832487696,0.998995100348635,0.815858709270231,0.999999279254748
