"","HActualNeededN","HOnePer","HFivePer","HTenPer","HFifteenPer"
"Baxter",94.8853018539903,2665.60409573474,107.554574471524,27.6404458393338,12.8777185618834
"Ross",138.427070968708,4646.21140399714,186.775263310625,47.4322585932866,21.6492066108025
"Goodrich",2061.42445723079,2739.22541729452,110.499199854966,28.375763579018,13.2029678852917
"Escobar",12097.9244289741,2781.79430839443,112.201828984126,28.8009520490657,13.3910783666592
"Zupancic",2324.77591656414,5691.01805348646,228.566648971236,57.8767886998647,26.2849692906792
"HMP",1223.79434438607,11939.9038491759,478.519995298584,120.357365339422,54.0393183930129
"Wu",1988.07650613953,6089.08885374988,244.489211365662,61.8564589173951,28.0518529549975
"Turnbaugh",153.245960650843,2001.10688995209,80.977488578341,21.0064797318629,9.94799003899226
