"","ActualDiffBFRR","OnePercentBFRR","FivePercentBFRR","TenPercentBFRR","FifteenPercentBFRR"
"Baxter",0.0348837209302326,0.039,0.086,0.251,0.519
"Ross",0.0826612903225806,0.037,0.056,0.127,0.247
"Goodrich",0.0110329588248109,0.045,0.244,0.72,0.962
"Escobar",0.266666666666667,0.017,0.024,0.029,0.059
"Zupancic",0.14,0.049,0.079,0.227,0.471
"HMP",0,0.037,0.154,0.545,0.869
"Wu",0.0292338709677419,0.008,0.026,0.117,0.268
"Turnbaugh",0.0684931506849314,0.039,0.071,0.219,0.452
