"","bacter","firm","BFratio","H","S","J"
"Baxter",0.0720004669347271,0.209474550584003,0.0611953159310602,0.606528003425087,0.153104875159153,0.913986327184093
"Ross",0.0920510233113171,0.11562615824346,0.059733452452902,0.199010733874726,0.083353595974347,0.386782973292573
"Goodrich",0.10808768204692,0.302092874238848,0.0692019178589837,0.928294335718266,0.389171156764137,0.99399317056045
"Escobar",0.0536945062177231,0.0832435234842518,0.0516364484443885,0.155042104242354,0.0922493500570858,0.21757753003431
"Zupancic",0.0770003920269583,0.198421214089303,0.0610809882801296,0.424212534539578,0.228018738416086,0.624378814774668
"HMP",0.11149190566069,0.0658659008124828,0.052360694672702,0.14082291163504,0.0950420440206008,0.219862226316476
"Wu",0.065458472463672,0.059101610954188,0.050793150641511,0.0835337501991467,0.0599252401192002,0.125097796771293
"Turnbaugh",0.0851431565938621,0.223907703205835,0.0676726274337244,0.713798497576089,0.298369281345507,0.923610426028062
