"","FirmActualNeededN","FirmOnePer","FirmFivePer","FirmTenPer","FirmFifteenPer"
"Baxter",3882.50271745587,10049.8764776087,402.919256550399,101.458508507222,101.458508507222
"Ross",677.419019622385,10328.4573137085,414.062450482191,104.244085650001,104.244085650001
"Goodrich",1086.55938532012,15462.11062188,619.407837700188,155.577712475667,155.577712475667
"Escobar",122.114526525709,8567.76218013702,343.635072377445,86.6389187412728,86.6389187412728
"Zupancic",2314.87391279711,14476.9382560685,580.001040705714,145.726385589878,145.726385589878
"HMP",1629.32765254374,66291.3527030569,2652.57639773949,663.865652428173,663.865652428173
"Wu",216.273469855441,22149.6915251182,886.910631036084,222.451758100101,222.451758100101
"Turnbaugh",11856.4225552876,8596.22621240377,344.773624932037,86.9235242642576,86.9235242642576
