"","totalN","meanAge","SDAge","males","females","ancestry","meanBMI","SDBMI","minBMI","maxBMI","Study"
"1","172","54.29","9.93","61","111","0.88","26.96","5.33","17.53","46.88","Baxter"
"2","63","57.03","11.16","15","48","0.00","31.63","5.27","22.10","47.90","Ross"
"3","507","61.48","8.94499358114674","2","505",NA,"26.35","4.92","16.17","44.83","Goodrich"
"4","30","38.10","11.08","16","14","0.00","27.44","4.51","19.50","37.60","Escobar"
"5","200","46.74","13.05","87","113","1.00","27.69","5.28","18.20","51.10","Zupancic"
"6","256","26.14","5.01","129","127","0.828125","24.14","3.41","19.00","34.00","HMP"
"7","63","26.36","9.05","29","34",NA,"24.33","4.71","14.04","41.29","Wu"
"8","146","21-32",NA,NA,NA,"0.51",NA,NA,NA,NA,"Turnbaugh"
