"","Sensitivity","Specificity","Study"
"1",1,0,"Baxter"
"2",1,0.008,"Baxter"
"3",1,0.016,"Baxter"
"4",1,0.024,"Baxter"
"5",1,0.032,"Baxter"
"6",1,0.04,"Baxter"
"7",1,0.048,"Baxter"
"8",1,0.056,"Baxter"
"9",1,0.064,"Baxter"
"10",1,0.072,"Baxter"
"11",1,0.08,"Baxter"
"12",1,0.088,"Baxter"
"13",1,0.096,"Baxter"
"14",1,0.104,"Baxter"
"15",0.978723404255319,0.104,"Baxter"
"16",0.978723404255319,0.112,"Baxter"
"17",0.978723404255319,0.12,"Baxter"
"18",0.978723404255319,0.128,"Baxter"
"19",0.978723404255319,0.136,"Baxter"
"20",0.978723404255319,0.144,"Baxter"
"21",0.978723404255319,0.152,"Baxter"
"22",0.978723404255319,0.16,"Baxter"
"23",0.957446808510638,0.16,"Baxter"
"24",0.957446808510638,0.168,"Baxter"
"25",0.957446808510638,0.176,"Baxter"
"26",0.936170212765957,0.176,"Baxter"
"27",0.936170212765957,0.184,"Baxter"
"28",0.936170212765957,0.192,"Baxter"
"29",0.914893617021277,0.192,"Baxter"
"30",0.914893617021277,0.2,"Baxter"
"31",0.914893617021277,0.208,"Baxter"
"32",0.914893617021277,0.216,"Baxter"
"33",0.914893617021277,0.224,"Baxter"
"34",0.914893617021277,0.232,"Baxter"
"35",0.914893617021277,0.24,"Baxter"
"36",0.914893617021277,0.248,"Baxter"
"37",0.914893617021277,0.256,"Baxter"
"38",0.914893617021277,0.264,"Baxter"
"39",0.914893617021277,0.272,"Baxter"
"40",0.914893617021277,0.28,"Baxter"
"41",0.914893617021277,0.288,"Baxter"
"42",0.914893617021277,0.296,"Baxter"
"43",0.914893617021277,0.304,"Baxter"
"44",0.914893617021277,0.312,"Baxter"
"45",0.914893617021277,0.32,"Baxter"
"46",0.914893617021277,0.328,"Baxter"
"47",0.914893617021277,0.336,"Baxter"
"48",0.914893617021277,0.344,"Baxter"
"49",0.914893617021277,0.352,"Baxter"
"50",0.914893617021277,0.36,"Baxter"
"51",0.914893617021277,0.368,"Baxter"
"52",0.914893617021277,0.376,"Baxter"
"53",0.914893617021277,0.384,"Baxter"
"54",0.914893617021277,0.392,"Baxter"
"55",0.914893617021277,0.4,"Baxter"
"56",0.914893617021277,0.408,"Baxter"
"57",0.914893617021277,0.424,"Baxter"
"58",0.914893617021277,0.432,"Baxter"
"59",0.914893617021277,0.44,"Baxter"
"60",0.914893617021277,0.448,"Baxter"
"61",0.893617021276596,0.448,"Baxter"
"62",0.893617021276596,0.456,"Baxter"
"63",0.893617021276596,0.464,"Baxter"
"64",0.893617021276596,0.472,"Baxter"
"65",0.893617021276596,0.48,"Baxter"
"66",0.893617021276596,0.488,"Baxter"
"67",0.893617021276596,0.496,"Baxter"
"68",0.893617021276596,0.504,"Baxter"
"69",0.893617021276596,0.512,"Baxter"
"70",0.893617021276596,0.52,"Baxter"
"71",0.872340425531915,0.52,"Baxter"
"72",0.872340425531915,0.528,"Baxter"
"73",0.872340425531915,0.536,"Baxter"
"74",0.872340425531915,0.544,"Baxter"
"75",0.872340425531915,0.552,"Baxter"
"76",0.851063829787234,0.552,"Baxter"
"77",0.829787234042553,0.552,"Baxter"
"78",0.829787234042553,0.56,"Baxter"
"79",0.829787234042553,0.568,"Baxter"
"80",0.829787234042553,0.576,"Baxter"
"81",0.829787234042553,0.584,"Baxter"
"82",0.829787234042553,0.592,"Baxter"
"83",0.829787234042553,0.6,"Baxter"
"84",0.808510638297872,0.6,"Baxter"
"85",0.808510638297872,0.608,"Baxter"
"86",0.808510638297872,0.616,"Baxter"
"87",0.808510638297872,0.624,"Baxter"
"88",0.787234042553192,0.624,"Baxter"
"89",0.787234042553192,0.632,"Baxter"
"90",0.787234042553192,0.64,"Baxter"
"91",0.765957446808511,0.64,"Baxter"
"92",0.74468085106383,0.64,"Baxter"
"93",0.723404255319149,0.64,"Baxter"
"94",0.723404255319149,0.648,"Baxter"
"95",0.723404255319149,0.656,"Baxter"
"96",0.723404255319149,0.664,"Baxter"
"97",0.723404255319149,0.672,"Baxter"
"98",0.723404255319149,0.68,"Baxter"
"99",0.723404255319149,0.688,"Baxter"
"100",0.702127659574468,0.688,"Baxter"
"101",0.702127659574468,0.696,"Baxter"
"102",0.702127659574468,0.704,"Baxter"
"103",0.680851063829787,0.704,"Baxter"
"104",0.680851063829787,0.712,"Baxter"
"105",0.680851063829787,0.72,"Baxter"
"106",0.680851063829787,0.728,"Baxter"
"107",0.659574468085106,0.728,"Baxter"
"108",0.638297872340426,0.728,"Baxter"
"109",0.638297872340426,0.736,"Baxter"
"110",0.638297872340426,0.744,"Baxter"
"111",0.638297872340426,0.752,"Baxter"
