"","Pow1Diff","Pow5Diff","Pow10Diff","Pow15Diff","ActualPerDiff","Study"
"1","5.3","13.2","37.6","69.3"," 7.2","Baxter"
"2","4.3","7.8","17.1","32.1","13.7","Ross"
"3","4.8","22.4","68.1","97.3","13.4","Goodrich"
"4","4.1","6.2","9.6","16.4","29.6","Escobar"
"5","5.6","9.9","20.2","38.7"," 0.9","Zupancic"
"6","5","8.1","14.9","29.6","19.8","HMP"
"7","4.2","5.6","6.9","10.2","17.9","Wu"
"8","5.6","11.2","34.6","64.6"," 8.7","Turnbaugh"
