"","RRActSimNH","RROnePercentNH","RRFivePercentNH","RRTenPercentNH","RRFifteenPercentNH"
"Baxter",2559.4543384246,30261.1689307976,1265.86274426956,331.231578181925,152.611517046074
"Ross",321.70199621599,38795.5354764104,1534.55958923342,375.776913935073,162.221777852605
"Goodrich",1924.85230500108,27485.6573202532,1163.09129363287,308.00345858533,143.360260664278
"Escobar",0,35139.7623322292,1442.10187191187,369.537233078539,167.102535577972
"Zupancic",295.379412632752,33273.2318756581,1375.61648909802,355.419235865633,161.934905358821
"HMP",643.638253473463,11953.7885809048,572.635315944866,168.920860905191,85.1624294595952
"Wu",968.534387339676,14342.1399518843,664.886113192932,191.195643380666,94.7362309216354
"Turnbaugh",18258.4954836493,33579.5401963671,1290.89298858718,303.360793793713,124.446276653793
