"","ActualDiffHRR","OnePercentHRR","FivePercentHRR","TenPercentHRR","FifteenPercentHRR"
"Baxter",0.0348837209302326,0.039,0.081,0.262,0.511
"Ross",0.107862903225806,0.045,0.06,0.108,0.198
"Goodrich",0.0363045034390464,0.062,0.219,0.702,0.958
"Escobar",0,0.02,0.021,0.036,0.06
"Zupancic",0.11,0.045,0.079,0.248,0.518
"HMP",0.046875,0.029,0.203,0.644,0.919
"Wu",0.0342741935483871,0.016,0.034,0.115,0.257
"Turnbaugh",0.0136986301369862,0.037,0.066,0.238,0.523
