"","RRActSimNH","RRActSimNBF"
"Baxter",2559.4543384246,2559.4543384246
"Ross",321.70199621599,548.088443778791
"Goodrich",1924.85230500108,20872.1060427835
"Escobar",0,47.1855206308249
"Zupancic",295.379412632752,194.908085023271
"HMP",643.638253473463,0
"Wu",968.534387339676,1327.55562580343
"Turnbaugh",728.531720968051,18258.4954836493
