"","BacterActualNeededN","BacterOnePer","BacterFivePer","BacterTenPer","BacterFifteenPer"
"Baxter",536.128938817868,69869.8331576871,2795.71559901683,699.650387241875,699.650387241875
"Ross",188.824110684726,15966.9947497579,639.603158565253,160.626369649763,160.626369649763
"Goodrich",1799.22405059923,65111.8185216025,2605.39505438877,652.070339663875,652.070339663875
"Escobar",37.6560270639559,75895.1063690003,3036.72650299339,759.903016887606,759.903016887606
"Zupancic",3275.82873699032,76644.7433435674,3066.71197897079,767.399374953117,767.399374953117
"HMP",422.147236337708,17463.2059076704,699.451479408617,175.587995871835,175.587995871835
"Wu",1044.22046562349,13087.7680361758,524.434394996773,131.835355086878,131.835355086878
"Turnbaugh",977.858063259013,40991.5293621644,1640.5836755336,410.868240279466,410.868240279466
