"","RRActSimNBF","RROnePercentNBF","RRFivePercentNBF","RRTenPercentNBF","RRFifteenPercentNBF"
"Baxter",2559.4543384246,30261.1689307976,1265.86274426956,331.231578181925,152.611517046074
"Ross",548.088443778791,35703.0183070778,1386.13734822903,330.627080651235,138.308460312221
"Goodrich",20872.1060427835,25359.3773566129,1083.62778115429,289.784061520246,135.973686154659
"Escobar",47.1855206308249,39116.9639171042,1568.02616732921,390.691793545026,171.865641093237
"Zupancic",194.908085023271,36381.7760977271,1485.20251335492,378.284181410953,170.088193138235
"HMP",0,14937.6256375144,687.79323623177,196.69194878515,97.0834625585674
"Wu",1327.55562580343,10141.2884129034,502.142299828586,151.724279810402,77.6975755389873
"Turnbaugh",728.531720968051,35765.2472419578,1388.96820892059,331.44804253698,138.729236410971
