"","Bacteroidetes","Firmicutes","BFRatio","Shannon","OTURich","Evenness","BrayC"
"Baxter",0.202383928490452,0.607465246458563,0.191650682183339,0.0650118635782845,0.0392259233115353,0.125400827806596,0.0639360639360639
"Ross",0.20356468789287,0.379899865202081,0.22074494997349,0.284782631234794,0.249224254612654,0.382642053838529,0.823176823176823
"Goodrich",0.435279739336314,0.289616957495439,0.270174205719001,0.613959937942688,0.324368899828208,0.836150701291842,0.325674325674326
"Escobar",0.0556255529797949,0.130728841373519,0.0822094447281854,0.948316451165027,0.230725263408922,0.61871029187371,0.0739260739260739
"Zupancic",0.567375130457808,0.601592084476055,0.59185342571283,0.310782047287703,0.161003902990508,0.440684697125687,0.178821178821179
"HMP",0.45899856057955,0.786352471713781,0.585829760539127,0.577210849900026,0.965448537321066,0.46666507849301,0.811188811188811
"Wu",0.712353562679204,0.75060458721989,0.989856215756106,0.908902310963077,0.279771698740378,0.380353764593646,0.533466533466533
"Turnbaugh",0.567492225188679,0.936568065005154,0.624089816746452,0.969929188415652,0.543588508011991,0.883447885996623,0.75024975024975
