"","OOBAUCAll","KoptAll","Study"
"1","0.76","18.00","Baxter"
"2","0.74","8.00","Ross"
"3","0.77","41.00","Goodrich"
"4","0.92","15.00","Escobar"
"5","0.73","42.00","Zupancic"
"6","0.70","6.00","HMP"
"7","0.90","15.00","Wu"
"8","0.79","11.00","Turnbaugh"
