"","BFActualNeededN","BFratioOnePer","BFratioFivePer","BFratioTenPer","BFratioFifteenPer"
"Baxter",2622.09181237997,136508.112741144,5461.24662216284,1366.03255051829,607.66031231973
"Ross",361.486130287047,67871.5510755604,2715.78432479211,679.66760441511,302.610433254828
"Goodrich",1082.5451724146,193521.523630127,7741.78300601078,1936.16646338896,861.052809251856
"Escobar",196.335303681574,171132.734366494,6846.23147086674,1712.27863706354,761.547216619417
"Zupancic",247937.223310175,185191.50152497,7408.58216295529,1852.86627266225,824.030530871126
"HMP",1124.25465640406,442111.062172992,17685.3644922153,4422.06158805659,1965.8946109723
"Wu",790.821056607287,252924.598546299,10117.9059699042,2530.19711649828,1125.0662284738
"Turnbaugh",1445.9725825008,110137.371499306,4406.41701666308,1102.32529788878,490.457373431109
