"","tposBF","tnegBF","cposBF","cnegBF","RRBF","lowBF","highBF","Study"
"1",25,61,22,64,1.13636363636364,0.700292312039578,1.85035179001791,"Baxter"
"2",18,14,20,11,0.871875,0.572593381309577,1.31100479605667,"Ross"
"3",53,201,50,203,1.05582677165354,0.749017440569408,1.48912412909443,"Goodrich"
"4",3,12,7,8,0.428571428571429,0.137162100632951,1.22600260938313,"Escobar"
"5",35,35,36,64,0.972222222222222,0.669055472890546,1.41168855105224,"Zupancic"
"6",13,115,13,115,1,0.489706652457537,2.04203883076044,"HMP"
"7",3,29,2,29,1.453125,0.308216311791819,6.95427101137152,"Wu"
"8",52,21,47,26,1.1063829787234,0.882666093317878,1.39677517471788,"Turnbaugh"
