ID	SRS012849	SRS012969	SRS013098	SRS013638	SRS013639	SRS016437	SRS016438	SRS017916	SRS020622	SRS021153	SRS021219	SRS024663	SRS043667	SRS045528	SRS045739	SRS049402	SRS049896	SRS050026	SRS053356	SRS053573	SRS053649	SRS054352	SRS055533	SRS056273	SRS058070	SRS063489	SRS063518	SRS064973	SRS074670	SRS074964	SRS075078	SRS075341	SRS075963	SRS076929	SRS077086	SRS077194	SRS077294	SRS077335	SRS077502	SRS077552	SRS077753	SRS077849	SRS078242	SRS078419	SRS078665	SRS097889	SRS098514	SRS098571	SRS098644	SRS098717	SRS098827	SRS101376	SRS101433	SRS103987	SRS104311	SRS104400	SRS104485	SRS105153	SRS140492	SRS140513	SRS140645	SRS142503	SRS142505	SRS142599	SRS142712	SRS142890	SRS143070	SRS143181	SRS143342	SRS143417	SRS143598	SRS143780	SRS143876	SRS143991	SRS144362	SRS144506	SRS144537	SRS145497	SRS146764	SRS146812	SRS146813	SRS147022	SRS147088	SRS147139	SRS147346	SRS147445	SRS147652	SRS147766	SRS147919	SRS148196	SRS148424	SRS148721
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Archaea	0.02113	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.00739	0.01517	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.26915	0.0	0.0	0.0	0.0	0.0	0.01888	0.0	0.16993	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01075	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.00631	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0047	0.0
k__Archaea|p__Euryarchaeota	0.02113	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.00739	0.01517	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.26915	0.0	0.0	0.0	0.0	0.0	0.01888	0.0	0.16993	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01075	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.00631	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0047	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.02113	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.00739	0.01517	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.26915	0.0	0.0	0.0	0.0	0.0	0.01888	0.0	0.16993	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01075	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.00631	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0047	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.02113	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.00739	0.01517	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.26915	0.0	0.0	0.0	0.0	0.0	0.01888	0.0	0.16993	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01075	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.00631	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0047	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.02113	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.00739	0.01517	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.26915	0.0	0.0	0.0	0.0	0.0	0.01888	0.0	0.16993	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01075	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.00631	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0047	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.02113	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.00739	0.01517	0.0	0.0	0.0	0.0	0.0	0.03439	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.26915	0.0	0.0	0.0	0.0	0.0	0.00813	0.0	0.16993	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01075	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.00631	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0047	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.01236	0.0	0.0	0.0	0.0	0.0	0.0	0.01394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00308	0.00819	0.0	0.0	0.0	0.0	0.0	0.02171	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.23845	0.0	0.0	0.0	0.0	0.0	0.00813	0.0	0.16644	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.007	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.0057	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.01236	0.0	0.0	0.0	0.0	0.0	0.0	0.01394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00308	0.00819	0.0	0.0	0.0	0.0	0.0	0.02171	0.0	0.0	0.0	0.0	0.01194	0.0	0.0	0.0	0.0	0.0	0.0	0.05012	0.23845	0.0	0.0	0.0	0.0	0.0	0.00813	0.0	0.16644	0.0	0.00893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.007	0.02663	0.0	0.0	0.07097	0.22885	0.0	0.0	0.0057	0.02407	0.0	0.0	0.0	0.0	0.15244	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.00877	0.0	0.0	0.0	0.0	0.0	0.0	0.01876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.02218	0.0	0.0	0.0043	0.00698	0.0	0.0	0.0	0.0	0.0	0.01268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00171	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00061	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0
