SampleIDs	Firmicutes	Bacteroidetes	unclassified	Verrucomicrobia	Proteobacteria	Actinobacteria	Lentisphaerae	Fusobacteria	Synergistetes	Spirochaetes	TM7	Deinococcus	Acidobacteria
ERR305334	48.547328959700096	11.921274601686973	24.179943767572635	0.0	13.701968134957825	1.330834114339269	0.018744142455482664	0.2999062792877226	0.0	0.0	0.0	0.0	0.0
ERR305335	88.84723523898782	1.9868791002811623	6.429240862230554	0.0	0.4873477038425492	2.2492970946579196	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305336	37.0759137769447	47.066541705716965	12.202436738519213	0.28116213683223995	1.443298969072165	1.874414245548266	0.018744142455482664	0.0	0.018744142455482664	0.0	0.0	0.018744142455482664	0.0
ERR305337	46.20431115276476	25.623242736644798	27.160262417994375	0.4123711340206186	0.3561387066541706	0.16869728209934395	0.018744142455482664	0.0	0.056232427366447985	0.0	0.0	0.0	0.0
ERR305338	74.13308341143393	18.29428303655108	7.179006560449859	0.07497656982193066	0.13120899718837864	0.18744142455482662	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305339	60.8622305529522	19.306466729147143	18.894095595126522	0.0	0.4873477038425492	0.4498594189315839	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305340	61.79943767572633	30.14058106841612	0.5623242736644799	0.07497656982193066	0.07497656982193066	7.328959700093721	0.0	0.0	0.0	0.0	0.018744142455482664	0.0	0.0
ERR305341	58.256794751640115	13.214620431115275	16.251171508903468	0.0	11.490159325210872	0.7122774133083412	0.0	0.07497656982193066	0.0	0.0	0.0	0.0	0.0
ERR305342	69.18462980318651	13.289597000937206	16.47610121836926	0.2436738519212746	0.4498594189315839	0.2999062792877226	0.056232427366447985	0.0	0.0	0.0	0.0	0.0	0.0
ERR305343	69.31583880037489	8.041237113402062	21.255857544517337	0.07497656982193066	0.3561387066541706	0.9559512652296157	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305344	32.33364573570759	13.53327085285848	22.66166822867854	26.916588566073102	4.142455482661668	0.28116213683223995	0.056232427366447985	0.0	0.07497656982193066	0.0	0.0	0.0	0.0
ERR305345	70.79662605435801	9.896907216494846	13.552014995313966	0.0	5.473289597000938	0.2624179943767573	0.018744142455482664	0.0	0.0	0.0	0.0	0.0	0.0
ERR305346	48.80974695407685	47.61012183692596	3.1115276476101217	0.0	0.2436738519212746	0.22492970946579194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305347	56.23242736644799	24.85473289597001	16.176194939081537	0.13120899718837864	2.0805998125585754	0.5248359887535146	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305348	50.64667291471415	27.985004686035612	16.925960637300843	0.0	4.36738519212746	0.07497656982193066	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305349	59.962511715089036	20.168697282099345	16.83223992502343	0.16869728209934395	2.8116213683223994	0.056232427366447985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305350	27.4601686972821	56.55107778819119	9.840674789128398	4.404873477038426	1.4058106841611997	0.28116213683223995	0.03748828491096533	0.018744142455482664	0.0	0.0	0.0	0.0	0.0
ERR305351	45.86691658856608	39.88753514526711	12.521087160262418	0.018744142455482664	0.6560449859418931	1.0496719775070291	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305352	67.17900656044986	8.678537956888473	23.37394564198688	0.0	0.5060918462980318	0.2436738519212746	0.018744142455482664	0.0	0.0	0.0	0.0	0.0	0.0
ERR305353	63.84254920337394	18.80037488284911	15.014058106841613	2.005623242736645	0.13120899718837864	0.2061855670103093	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305354	71.77132146204312	9.278350515463918	17.80693533270853	0.8434864104967198	0.16869728209934395	0.13120899718837864	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305355	59.32521087160263	19.287722586691658	15.238987816307404	1.611996251171509	0.2624179943767573	4.254920337394564	0.0	0.018744142455482664	0.0	0.0	0.0	0.0	0.0
ERR305356	71.69634489222118	12.839737582005622	14.78912839737582	0.0	0.18744142455482662	0.4873477038425492	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305357	85.04217432052484	5.623242736644799	9.01593252108716	0.0	0.056232427366447985	0.2624179943767573	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305358	70.3842549203374	15.670103092783505	12.74601686972821	0.03748828491096533	1.1246485473289598	0.018744142455482664	0.0	0.0	0.0	0.0	0.0	0.0	0.018744142455482664
ERR305359	71.7900656044986	2.4742268041237114	23.7863167760075	0.03748828491096533	0.5435801312089972	1.330834114339269	0.0	0.03748828491096533	0.0	0.0	0.0	0.0	0.0
ERR305360	58.76288659793815	10.253045923149017	30.40299906279288	0.09372071227741331	0.2061855670103093	0.2436738519212746	0.03748828491096533	0.0	0.0	0.0	0.0	0.0	0.0
ERR305361	52.277413308341146	41.25585754451734	5.098406747891284	0.0	0.5623242736644799	0.8059981255857545	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR305362	62.15557638238051	13.53327085285848	22.83036551077788	0.1499531396438613	0.5810684161199625	0.4123711340206186	0.31865042174320524	0.0	0.0	0.0	0.018744142455482664	0.0	0.0
ERR305363	65.60449859418932	15.520149953139645	16.869728209934394	0.5248359887535146	1.1246485473289598	0.28116213683223995	0.0	0.0	0.0	0.07497656982193066	0.0	0.0	0.0
