OTU	Size	Taxonomy
Otu000001	102666	Bacteroidetes
Otu000002	45963	Bacteroidetes
Otu000003	36670	Firmicutes
Otu000004	26516	Bacteroidetes
Otu000005	22531	Firmicutes
Otu000006	15760	Bacteroidetes
Otu000007	15639	Bacteroidetes
Otu000008	15575	Bacteroidetes
Otu000009	14523	Bacteroidetes
Otu000010	12257	Bacteroidetes
Otu000011	10331	Bacteroidetes
Otu000012	10134	Bacteroidetes
Otu000013	9981	Bacteroidetes
Otu000014	9740	Firmicutes
Otu000015	9718	Firmicutes
Otu000016	8465	Bacteroidetes
Otu000017	8087	Firmicutes
Otu000018	7589	Bacteroidetes
Otu000019	7402	Firmicutes
Otu000020	7280	Bacteroidetes
Otu000021	7243	Bacteroidetes
Otu000022	6876	Firmicutes
Otu000023	6754	Bacteroidetes
Otu000024	6083	Firmicutes
Otu000025	5929	Bacteroidetes
Otu000026	5710	Bacteroidetes
Otu000027	5594	Firmicutes
Otu000028	5567	Proteobacteria
Otu000029	5508	Bacteroidetes
Otu000030	5495	Bacteroidetes
Otu000031	5463	Firmicutes
Otu000032	5448	Firmicutes
Otu000033	5325	Bacteroidetes
Otu000034	5271	Proteobacteria
Otu000035	5250	Firmicutes
Otu000036	5153	Bacteroidetes
Otu000037	4952	Bacteroidetes
Otu000038	4752	Firmicutes
Otu000039	4720	Firmicutes
Otu000040	4599	Firmicutes
Otu000041	4543	Firmicutes
Otu000042	4505	Firmicutes
Otu000043	4494	Firmicutes
Otu000044	4340	Firmicutes
Otu000045	4304	Firmicutes
Otu000046	4291	Bacteroidetes
Otu000047	4241	Firmicutes
Otu000048	4174	Bacteroidetes
Otu000049	4140	Firmicutes
Otu000050	4114	Firmicutes
Otu000051	4100	Firmicutes
Otu000052	4093	Firmicutes
Otu000053	4077	Firmicutes
Otu000054	3981	Firmicutes
Otu000055	3874	Firmicutes
Otu000056	3836	Bacteroidetes
Otu000057	3833	Firmicutes
Otu000058	3809	Firmicutes
Otu000059	3628	Firmicutes
Otu000060	3565	Firmicutes
Otu000061	3562	Proteobacteria
Otu000062	3561	Firmicutes
Otu000063	3544	Firmicutes
Otu000064	3526	Actinobacteria
Otu000065	3457	Firmicutes
Otu000066	3454	Bacteroidetes
Otu000067	3415	Firmicutes
Otu000068	3411	Bacteroidetes
Otu000069	3409	Firmicutes
Otu000070	3289	Firmicutes
Otu000071	3225	Firmicutes
Otu000072	3213	Firmicutes
Otu000073	3092	Firmicutes
Otu000074	3060	Firmicutes
Otu000075	3019	Firmicutes
Otu000076	2998	Proteobacteria
Otu000077	2972	Firmicutes
Otu000078	2959	Bacteroidetes
Otu000079	2896	Firmicutes
Otu000080	2877	Firmicutes
Otu000081	2824	Firmicutes
Otu000082	2790	Firmicutes
Otu000083	2756	Firmicutes
Otu000084	2747	Bacteroidetes
Otu000085	2732	Bacteroidetes
Otu000086	2714	Firmicutes
Otu000087	2704	unclassified
Otu000088	2702	Bacteroidetes
Otu000089	2689	Firmicutes
Otu000090	2677	Firmicutes
Otu000091	2666	Proteobacteria
Otu000092	2610	Firmicutes
Otu000093	2608	Firmicutes
Otu000094	2605	Firmicutes
Otu000095	2548	Firmicutes
Otu000096	2528	Bacteroidetes
Otu000097	2524	Bacteroidetes
Otu000098	2496	Firmicutes
Otu000099	2460	Firmicutes
Otu000100	2434	Firmicutes
