SampleIDs	Bacteroidetes	Firmicutes	unclassified	Fusobacteria	Proteobacteria	Actinobacteria	Verrucomicrobia	Lentisphaerae	Deinococcus	Synergistetes	Elusimicrobia	TM7
SRR1796051	30.063842135809633	59.48926291352292	2.61172373766686	0.0	4.12071967498549	3.7144515380150898	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796052	55.42658154381892	36.21590249564713	0.05803830528148578	0.0	6.674405107370865	1.625072547881602	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796055	49.85490423679629	31.63087637840975	13.522925130586186	0.0	3.7144515380150898	0.6964596633778294	0.5803830528148578	0.0	0.0	0.0	0.0	0.0
SRR1796068	38.65351131746953	52.29251305861868	6.32617527568195	0.0	2.4956471271038887	0.2321532211259431	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796069	34.47475333720255	43.18049912942542	15.496227510156704	0.0	0.2321532211259431	0.4062681369704005	5.803830528148578	0.0	0.0	0.4062681369704005	0.0	0.0
SRR1796071	26.17527568195009	57.74811375507836	13.871154962275101	0.05803830528148578	1.2768427161926872	0.2321532211259431	0.2321532211259431	0.4062681369704005	0.0	0.0	0.0	0.0
SRR1796073	31.398723157283808	33.4881021474173	33.13987231572838	0.11607661056297155	0.7544979686593152	0.05803830528148578	0.9866511897852582	0.05803830528148578	0.0	0.0	0.0	0.0
SRR1796074	44.97968659315148	45.21183981427742	5.513639001741149	1.1607661056297156	2.4956471271038887	0.5803830528148578	0.0	0.05803830528148578	0.0	0.0	0.0	0.0
SRR1796075	28.670922809053977	32.26929773650609	0.05803830528148578	36.91236215902496	2.0313406848520024	0.05803830528148578	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796076	38.65351131746953	45.09576320371445	0.9866511897852582	0.05803830528148578	14.915844457341846	0.2321532211259431	0.0	0.05803830528148578	0.0	0.0	0.0	0.0
SRR1796080	23.041207196749856	43.06442251886245	28.845037724898432	0.0	3.7144515380150898	0.05803830528148578	0.17411491584445735	1.1027278003482297	0.0	0.0	0.0	0.0
SRR1796081	34.01044689495067	59.199071387115495	5.571677307022635	0.0	0.2321532211259431	0.9866511897852582	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796087	46.37260591990714	51.65409170052234	0.9286128845037724	0.0	0.7544979686593152	0.2321532211259431	0.05803830528148578	0.0	0.0	0.0	0.0	0.0
SRR1796089	24.0858966918166	66.45385954730122	7.312826465467208	0.0	1.6831108531630876	0.4643064422518862	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796092	32.55948926291352	51.94428322692978	13.871154962275101	0.0	0.8705745792222866	0.4062681369704005	0.11607661056297155	0.05803830528148578	0.0	0.0	0.17411491584445735	0.0
