OTU	Size	Taxonomy
Otu00001	62280	Bacteroidetes
Otu00002	41078	Firmicutes
Otu00003	36133	Bacteroidetes
Otu00004	35497	Firmicutes
Otu00005	21147	Bacteroidetes
Otu00006	19886	Firmicutes
Otu00007	12173	Bacteroidetes
Otu00008	9364	Firmicutes
Otu00009	9183	Firmicutes
Otu00010	7701	Firmicutes
Otu00011	7676	Bacteroidetes
Otu00012	7668	Firmicutes
Otu00013	7364	Bacteroidetes
Otu00014	7279	unclassified
Otu00015	6991	Bacteroidetes
Otu00016	6603	Firmicutes
Otu00017	6506	Bacteroidetes
Otu00018	6223	Fusobacteria
Otu00019	5751	Bacteroidetes
Otu00020	5557	Firmicutes
Otu00021	5331	Bacteroidetes
Otu00022	5298	Firmicutes
Otu00023	5032	Firmicutes
Otu00024	4983	Bacteroidetes
Otu00025	4982	Proteobacteria
Otu00026	4731	Firmicutes
Otu00027	4307	unclassified
Otu00028	3865	unclassified
Otu00029	3779	Firmicutes
Otu00030	3638	Firmicutes
Otu00031	3002	Firmicutes
Otu00032	2946	Actinobacteria
Otu00033	2901	Firmicutes
Otu00034	2591	Proteobacteria
Otu00035	2553	Bacteroidetes
Otu00036	2422	Firmicutes
Otu00037	2374	Verrucomicrobia
Otu00038	2366	Bacteroidetes
Otu00039	2363	Bacteroidetes
Otu00040	2353	Firmicutes
Otu00041	2323	Firmicutes
Otu00042	2276	Bacteroidetes
Otu00043	2182	Firmicutes
Otu00044	2095	unclassified
Otu00045	2060	Firmicutes
Otu00046	2051	Firmicutes
Otu00047	2028	Firmicutes
Otu00048	1896	unclassified
Otu00049	1827	Firmicutes
Otu00050	1599	Firmicutes
Otu00051	1583	Bacteroidetes
Otu00052	1514	Proteobacteria
Otu00053	1504	Bacteroidetes
Otu00054	1489	Firmicutes
Otu00055	1392	Fusobacteria
Otu00056	1376	Bacteroidetes
Otu00057	1327	Firmicutes
Otu00058	1327	Firmicutes
Otu00059	1314	Firmicutes
Otu00060	1281	Firmicutes
Otu00061	1279	Bacteroidetes
Otu00062	1253	Firmicutes
Otu00063	1208	Bacteroidetes
Otu00064	1189	Bacteroidetes
Otu00065	1179	Firmicutes
Otu00066	1119	Firmicutes
Otu00067	1106	Firmicutes
Otu00068	1099	Bacteroidetes
Otu00069	1088	Firmicutes
Otu00070	1070	Firmicutes
Otu00071	1069	Firmicutes
Otu00072	1027	Firmicutes
Otu00073	1009	Bacteroidetes
Otu00074	988	Firmicutes
Otu00075	959	Bacteroidetes
Otu00076	933	unclassified
Otu00077	908	unclassified
Otu00078	905	Firmicutes
Otu00079	845	Firmicutes
Otu00080	828	Firmicutes
Otu00081	807	unclassified
Otu00082	797	Firmicutes
Otu00083	796	Firmicutes
Otu00084	774	Bacteroidetes
Otu00085	747	Bacteroidetes
Otu00086	743	Proteobacteria
Otu00087	743	Proteobacteria
Otu00088	736	Firmicutes
Otu00089	713	Bacteroidetes
Otu00090	686	Bacteroidetes
Otu00091	683	unclassified
Otu00092	670	unclassified
Otu00093	657	unclassified
Otu00094	650	unclassified
Otu00095	649	unclassified
Otu00096	630	Firmicutes
Otu00097	616	Firmicutes
Otu00098	614	Bacteroidetes
Otu00099	606	Firmicutes
Otu00100	603	Firmicutes
Otu00101	582	Proteobacteria
Otu00102	567	Firmicutes
Otu00103	566	Firmicutes
Otu00104	543	Firmicutes
Otu00105	509	Proteobacteria
Otu00106	499	Proteobacteria
Otu00107	490	unclassified
Otu00108	489	unclassified
Otu00109	488	Firmicutes
Otu00110	478	Bacteroidetes
Otu00111	473	Bacteroidetes
Otu00112	451	Firmicutes
Otu00113	441	Firmicutes
Otu00114	433	Firmicutes
Otu00115	431	unclassified
Otu00116	418	Firmicutes
Otu00117	406	Proteobacteria
Otu00118	391	Firmicutes
Otu00119	382	Firmicutes
Otu00120	379	Firmicutes
Otu00121	373	Bacteroidetes
Otu00122	363	Firmicutes
Otu00123	361	unclassified
Otu00124	356	Firmicutes
Otu00125	355	Firmicutes
Otu00126	333	Firmicutes
Otu00127	322	unclassified
Otu00128	321	Bacteroidetes
Otu00129	314	Proteobacteria
Otu00130	307	Firmicutes
Otu00131	289	Bacteroidetes
Otu00132	288	unclassified
Otu00133	287	unclassified
Otu00134	282	unclassified
Otu00135	279	unclassified
Otu00136	274	Firmicutes
Otu00137	272	Lentisphaerae
Otu00138	272	Firmicutes
Otu00139	272	unclassified
Otu00140	268	Firmicutes
Otu00141	262	Actinobacteria
Otu00142	255	unclassified
Otu00143	248	Actinobacteria
Otu00144	248	Firmicutes
Otu00145	246	Firmicutes
Otu00146	243	Firmicutes
Otu00147	238	Firmicutes
Otu00148	236	Firmicutes
Otu00149	231	Bacteroidetes
Otu00150	225	unclassified
Otu00151	224	Firmicutes
Otu00152	221	Firmicutes
Otu00153	221	Firmicutes
Otu00154	219	Firmicutes
Otu00155	212	unclassified
Otu00156	211	Firmicutes
Otu00157	210	Firmicutes
Otu00158	203	unclassified
Otu00159	202	Bacteroidetes
Otu00160	201	Bacteroidetes
Otu00161	190	Deinococcus
Otu00162	187	Firmicutes
Otu00163	186	unclassified
Otu00164	185	Firmicutes
Otu00165	183	Firmicutes
Otu00166	180	Firmicutes
Otu00167	179	Bacteroidetes
Otu00168	178	unclassified
Otu00169	168	Firmicutes
Otu00170	168	Proteobacteria
Otu00171	167	Proteobacteria
Otu00172	167	Firmicutes
Otu00173	165	unclassified
Otu00174	165	unclassified
Otu00175	157	Proteobacteria
Otu00176	157	unclassified
Otu00177	154	Firmicutes
Otu00178	153	Firmicutes
Otu00179	152	Firmicutes
Otu00180	146	Firmicutes
Otu00181	146	Bacteroidetes
Otu00182	136	Firmicutes
Otu00183	135	Bacteroidetes
Otu00184	135	Bacteroidetes
Otu00185	134	Firmicutes
Otu00186	133	unclassified
Otu00187	132	Bacteroidetes
Otu00188	131	Bacteroidetes
Otu00189	129	Firmicutes
Otu00190	128	Firmicutes
Otu00191	128	Bacteroidetes
Otu00192	127	Proteobacteria
Otu00193	126	Bacteroidetes
Otu00194	126	Lentisphaerae
Otu00195	124	Firmicutes
Otu00196	121	Bacteroidetes
Otu00197	120	unclassified
Otu00198	120	Firmicutes
Otu00199	119	Proteobacteria
Otu00200	119	Firmicutes
Otu00201	119	unclassified
Otu00202	117	Firmicutes
Otu00203	117	unclassified
Otu00204	114	unclassified
Otu00205	111	Firmicutes
Otu00206	111	Firmicutes
Otu00207	107	Firmicutes
Otu00208	104	unclassified
Otu00209	104	Firmicutes
Otu00210	104	Bacteroidetes
Otu00211	103	unclassified
Otu00212	102	unclassified
Otu00213	102	Bacteroidetes
Otu00214	101	unclassified
Otu00215	99	Firmicutes
Otu00216	99	Bacteroidetes
Otu00217	97	Firmicutes
Otu00218	97	unclassified
Otu00219	97	Bacteroidetes
Otu00220	95	unclassified
Otu00221	93	Firmicutes
Otu00222	93	unclassified
Otu00223	93	unclassified
Otu00224	93	Firmicutes
Otu00225	93	Bacteroidetes
Otu00226	92	Proteobacteria
